Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 10:49:31.861625,8,461,2815,4833,9701238,17180,3048,2,6,-88
2023-06-21 10:50:03.712112,10,458,2814,4838,9701343,16760,3049,2,6,-90
2023-06-21 10:50:18.909690,11,457,2812,4841,9701245,16528,3050,2,6,-91
2023-06-21 10:50:34.874472,12,457,2810,4842,9701077,16630,3049,2,6,-89
2023-06-21 10:50:55.849716,13,456,2810,4845,9701191,16606,3050,2,6,-90
2023-06-21 10:51:31.922508,15,455,2810,4847,9701392,16632,3048,2,6,-89
2023-06-21 10:51:42.715441,0,454,2808,4847,9701386,16468,3050,2,6,-89
2023-06-21 10:51:57.856612,1,454,2808,4849,9701396,16490,3050,2,6,-91
2023-06-21 10:52:13.749938,2,453,2807,4851,9701318,16432,3048,2,6,-89
2023-06-21 10:52:34.703328,3,452,2807,4853,9701459,16558,3050,2,6,-89
2023-06-21 10:52:49.862281,4,451,2807,4855,9701558,16556,3050,2,6,-91
2023-06-21 10:53:05.749295,5,451,2806,4857,9701253,16620,3052,2,6,-89
2023-06-21 10:53:26.705851,6,451,2806,4859,9701448,17062,3052,2,6,-89
2023-06-21 10:53:36.824570,7,450,2806,4857,9701519,17098,3050,2,6,-89
2023-06-21 10:54:18.807680,9,449,2806,4854,9701295,17028,3049,2,6,-89
2023-06-21 10:54:23.855249,10,448,2806,4864,9701285,16784,3048,2,6,-90
2023-06-21 10:54:44.805959,11,447,2806,4867,9701320,16596,3049,2,6,-91
2023-06-21 10:55:00.774985,12,447,2806,4871,9701313,16496,3049,2,6,-92
2023-06-21 10:55:21.706140,13,447,2805,4891,9701203,16586,3050,2,6,-89
2023-06-21 10:55:52.685906,15,447,2805,4891,9701203,16858,3050,2,6,-89
2023-06-21 10:56:18.685098,0,446,2805,4885,9701173,17222,3050,2,6,-89
2023-06-21 10:56:23.723165,1,446,2805,4881,9701252,17138,3049,2,6,-89
2023-06-21 10:56:54.708002,3,446,2805,4889,9701050,16630,3050,2,6,-89
2023-06-21 10:57:35.755302,5,446,2805,4895,9701199,16512,3049,2,6,-89
2023-06-21 10:57:56.748381,6,445,2805,4900,9701181,16454,3050,2,6,-91
2023-06-21 10:58:01.789563,7,445,2805,4906,9701266,16430,3049,2,6,-91
2023-06-21 10:58:17.685693,8,444,2804,4909,9701187,16556,3048,2,6,-89
2023-06-21 10:58:32.806897,9,444,2806,4911,9701419,16802,3048,2,6,-91
2023-06-21 10:58:53.722467,10,443,2805,4914,9701333,16860,3048,2,6,-88
2023-06-21 10:59:03.853691,11,441,2805,4915,9701323,16676,3047,2,6,-88
2023-06-21 10:59:34.866368,12,441,2805,4915,9701266,16392,3049,2,6,-90
2023-06-21 10:59:44.922957,13,440,2805,4922,9701326,16348,3049,2,6,-89
2023-06-21 11:00:00.799232,14,440,2805,4922,9701216,16412,3050,2,6,-88
2023-06-21 11:00:10.896105,15,440,2804,4924,9701240,16408,3049,2,6,-89
2023-06-21 11:00:36.847239,0,440,2805,4925,9701323,16350,3051,2,6,-91
2023-06-21 11:00:41.901584,1,439,2805,4927,9701252,16380,3049,2,6,-90
2023-06-21 11:01:07.827960,2,440,2804,4926,9701254,16320,3048,2,6,-88
2023-06-21 11:01:17.890917,3,439,2805,4924,9701680,16372,3050,2,6,-89
2023-06-21 11:01:38.769740,4,439,2805,4930,9701580,16316,3050,2,6,-101
2023-06-21 11:01:48.904261,5,439,2803,4885,9701543,16340,3050,2,6,-89
2023-06-21 11:02:04.826642,6,439,2801,4867,9701495,16308,3048,2,6,-89
2023-06-21 11:02:30.777293,7,439,2800,4858,9701603,16428,3049,2,6,-90
2023-06-21 11:02:45.920915,8,439,2799,4857,9702001,16366,3050,2,6,-89
2023-06-21 11:02:56.770494,9,439,2797,4857,9701850,16374,3049,2,6,-90
2023-06-21 11:03:11.920147,10,439,2795,4867,9701947,16340,3050,2,6,-90
2023-06-21 11:03:32.901986,11,439,2794,4873,9702154,16394,3049,2,6,-90
2023-06-21 11:03:43.702343,12,439,2792,4879,9702188,16646,3049,2,6,-90
2023-06-21 11:03:58.915204,13,439,2791,4888,9702168,16622,3050,2,6,-90
2023-06-21 11:04:50.934371,0,439,2788,4894,9702095,16974,3051,2,6,-90
2023-06-21 11:05:06.777278,1,439,2788,4897,9701977,17064,3049,2,6,-91
2023-06-21 11:05:27.733164,2,439,2788,4906,9701800,17106,3049,2,6,-89
2023-06-21 11:05:37.839042,3,438,2787,4910,9701912,17032,3049,2,6,-91
2023-06-21 11:06:08.917813,4,438,2787,4915,9701881,17088,3049,2,6,-89
2023-06-21 11:06:19.752334,5,438,2786,4918,9701971,17108,3049,2,6,-90
2023-06-21 11:06:34.881646,6,438,2786,4920,9702003,17166,3051,2,6,-90
2023-06-21 11:07:00.842878,8,438,2786,4915,9702131,17124,3051,2,6,-89
2023-06-21 11:07:16.780459,9,438,2785,4915,9702084,17154,3049,2,6,-92
2023-06-21 11:07:37.767754,10,438,2786,4915,9702223,16754,3050,2,6,-90
2023-06-21 11:07:53.690355,11,438,2785,4916,9702154,16750,3048,2,6,-90
2023-06-21 11:08:08.850743,12,437,2786,4916,9702339,16906,3049,2,6,-90
2023-06-21 11:08:49.919444,14,437,2786,4919,9702374,17172,3049,2,6,-91
2023-06-21 11:09:10.856366,0,437,2786,4917,9702767,16730,3049,2,6,-91
2023-06-21 11:09:36.831553,1,437,2787,4918,9702987,16588,3048,2,6,-88
2023-06-21 11:09:52.697114,2,436,2787,4917,9703005,16488,3049,2,6,-89
2023-06-21 11:10:18.679578,4,436,2786,4917,9702962,16730,3049,2,6,-89
2023-06-21 11:10:38.853722,5,437,2787,4921,9703164,16686,3050,2,6,-91
2023-06-21 11:11:04.840606,6,436,2787,4925,9703140,17048,3048,2,6,-88
2023-06-21 11:11:14.930802,7,437,2787,4925,9703211,17066,3050,2,6,-88
2023-06-21 11:11:35.874878,8,437,2787,4926,9703119,16818,3049,2,6,-89
2023-06-21 11:11:40.978003,9,437,2788,4926,9703081,16656,3049,2,6,-91
