Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-08 10:43:29.174641,9,550,2627,3547,9648185,19890,4738,2,5,-84
2023-06-08 10:43:45.085765,10,550,2627,3547,9648089,19840,4740,2,5,-82
2023-06-08 10:44:01.077514,11,550,2627,3545,9647963,19804,4740,2,5,-84
2023-06-08 10:44:16.292879,12,550,2627,3543,9648089,19906,4737,2,5,-82
2023-06-08 10:44:32.243033,13,550,2627,3543,9647867,19868,4739,2,5,-82
2023-06-08 10:44:48.113807,14,550,2628,3543,9648168,19854,4738,2,5,-85
2023-06-08 10:45:03.295594,15,550,2628,3542,9648362,19854,4738,2,5,-82
2023-06-08 10:45:19.127891,0,550,2628,3542,9648154,19814,4739,2,5,-82
2023-06-08 10:45:34.258258,1,550,2627,3541,9648004,19848,4738,2,5,-85
2023-06-08 10:45:50.229467,2,549,2628,3543,9648195,19818,4736,2,5,-84
2023-06-08 10:46:11.143675,3,549,2628,3541,9648178,19818,4737,2,5,-83
2023-06-08 10:58:02.326497,15,538,2632,3532,9647939,19794,4738,2,5,-82
2023-06-08 10:58:13.127996,0,538,2632,3530,9647843,19804,4740,2,5,-83
2023-06-08 10:58:28.303693,1,538,2632,3532,9647918,19756,4739,2,5,-84
2023-06-08 10:58:44.214543,2,537,2632,3529,9648208,19738,4739,2,5,-83
2023-06-08 11:02:54.181045,1,537,2634,3535,9647740,19708,4739,2,5,-84
2023-06-08 11:03:04.287352,2,537,2634,3535,9647621,19670,4738,2,5,-84
2023-06-08 11:03:20.165232,3,537,2634,3532,9647689,19702,4737,2,5,-82
2023-06-08 11:03:36.077087,4,537,2634,3531,9647607,19668,4738,2,5,-84
2023-06-08 11:05:08.252916,9,537,2635,3527,9647703,19640,4738,2,5,-83
2023-06-08 11:05:14.041564,10,537,2635,3527,9647819,19728,4739,2,5,-85
2023-06-08 11:05:29.234387,11,537,2634,3527,9647563,19668,4738,2,5,-83
2023-06-08 11:06:03.175217,13,538,2636,3528,9647764,19622,4738,2,5,-82
2023-06-08 11:06:13.316683,14,538,2635,3529,9647699,19660,4739,2,5,-85
2023-06-08 11:06:29.212678,15,537,2635,3530,9647645,19660,4738,2,5,-83
2023-06-08 11:06:50.106318,0,538,2635,3526,9647785,19726,4738,2,5,-84
2023-06-08 11:07:05.334607,1,538,2636,3524,9647672,19694,4736,2,5,-84
2023-06-08 11:07:21.274265,2,537,2636,3523,9647860,19680,4737,2,5,-84
2023-06-08 11:07:37.185399,3,537,2635,3524,9647539,19706,4739,2,5,-84
2023-06-08 11:07:53.084510,4,537,2636,3526,9647604,19714,4737,2,5,-83
2023-06-08 11:08:08.251647,5,537,2637,3533,9647580,19670,4735,2,5,-84
2023-06-08 11:08:24.127333,6,536,2636,3537,9647542,19654,4739,2,5,-82
2023-06-08 11:08:40.041059,7,536,2636,3538,9647628,19670,4736,2,5,-84
2023-06-08 11:08:55.208378,8,536,2636,3539,9647474,19652,4736,2,5,-84
2023-06-08 11:09:11.118831,9,536,2637,3538,9647614,19630,4738,2,5,-84
2023-06-08 11:09:32.041360,10,536,2636,3540,9647573,19730,4739,2,5,-84
2023-06-08 11:09:47.261492,11,535,2636,3540,9647600,19670,4738,2,5,-85
2023-06-08 11:10:03.134591,12,535,2637,3537,9647703,19668,4736,2,5,-84
2023-06-08 11:10:18.274309,13,534,2637,3538,9647604,19648,4737,2,5,-82
