Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-09-07 16:02:45.988689,3,676,2708,5361,9688248,14984,4255,2,6,-77
2023-09-07 16:02:56.083691,4,677,2707,5360,9688301,15002,4253,2,6,-77
2023-09-07 16:03:22.158396,5,677,2708,5361,9688289,14892,4254,2,6,-79
2023-09-07 16:03:27.204436,6,677,2707,5361,9688219,15006,4254,2,6,-77
2023-09-07 16:03:43.097812,7,677,2707,5359,9688289,14918,4255,2,6,-77
2023-09-07 16:03:59.002178,8,676,2707,5359,9688395,14948,4252,2,6,-77
2023-09-07 16:09:28.127178,12,670,2706,5343,9688167,14966,4256,2,6,-79
2023-09-07 16:09:54.195938,14,670,2706,5340,9688131,14948,4255,2,6,-80
2023-09-07 16:10:26.021808,0,669,2706,5338,9688202,14948,4258,2,6,-80
2023-09-07 16:11:07.211806,2,668,2707,5340,9688137,15004,4256,2,6,-76
2023-09-07 16:11:23.087513,3,668,2706,5337,9688067,14960,4254,2,6,-82
2023-09-07 16:11:33.194732,4,667,2707,5336,9687967,14920,4254,2,6,-76
2023-09-07 16:11:59.997905,5,667,2707,5336,9688043,14864,4256,2,6,-82
2023-09-07 16:12:05.042413,6,666,2706,5333,9688015,14794,4255,2,6,-82
2023-09-07 16:12:20.239476,7,665,2706,5335,9688237,14794,4254,2,6,-83
2023-09-07 16:12:36.103248,8,665,2706,5336,9688073,14778,4254,2,6,-76
2023-09-07 16:13:23.099784,11,665,2706,5336,9688067,14798,4252,2,6,-82
2023-09-07 16:13:44.036693,12,664,2706,5335,9688026,14798,4253,2,6,-76
2023-09-07 16:13:59.209073,13,664,2705,5334,9687927,14816,4255,2,6,-83
2023-09-07 16:14:15.161236,14,664,2706,5336,9688079,14830,4257,2,6,-82
2023-09-07 16:14:31.046208,15,664,2705,5334,9688091,14764,4254,2,6,-76
2023-09-07 16:14:57.102161,0,663,2706,5334,9688062,14758,4255,2,6,-76
2023-09-07 16:15:02.130369,1,664,2705,5335,9688179,14874,4254,2,6,-82
2023-09-07 16:15:23.055385,2,664,2705,5333,9688080,14874,4255,2,6,-82
2023-09-07 16:15:38.226434,3,663,2704,5333,9687858,14836,4256,2,6,-74
2023-09-07 16:15:59.091542,4,663,2704,5330,9688116,14746,4256,2,6,-82
2023-09-07 16:16:09.226062,5,663,2704,5328,9688222,14826,4256,2,6,-76
2023-09-07 16:16:35.164165,6,662,2704,5325,9688140,14804,4254,2,6,-82
2023-09-07 16:16:40.208326,7,661,2704,5324,9688028,14848,4254,2,6,-76
2023-09-07 16:17:01.094025,8,660,2704,5323,9688339,14786,4255,2,6,-76
2023-09-07 16:17:11.236112,9,659,2703,5322,9688176,14834,4254,2,6,-76
2023-09-07 16:17:42.191147,10,657,2703,5321,9688346,14822,4254,2,6,-76
2023-09-07 16:17:47.961978,11,655,2703,5321,9688299,14790,4253,2,6,-82
2023-09-07 16:18:13.980310,12,652,2702,5319,9688129,14822,4257,2,6,-82
2023-09-07 16:18:24.080522,13,650,2702,5317,9688235,14824,4253,2,6,-77
2023-09-07 16:18:34.194513,14,648,2703,5315,9688434,14758,4255,2,6,-82
2023-09-07 16:18:50.063479,15,646,2701,5313,9688283,14766,4254,2,6,-76
2023-09-07 16:19:21.105727,1,644,2702,5316,9688458,14786,4255,2,6,-83
2023-09-07 16:19:47.035580,2,643,2701,5316,9688283,14748,4255,2,6,-76
2023-09-07 16:19:52.096096,3,642,2701,5317,9688348,14818,4257,2,6,-77
2023-09-07 16:20:18.075691,4,642,2701,5313,9688353,14794,4255,2,6,-82
2023-09-07 16:20:28.203505,5,641,2700,5315,9688307,14882,4255,2,6,-82
2023-09-07 16:20:59.210437,7,637,2700,5310,9688184,14882,4255,2,6,-82
2023-09-07 16:21:15.130193,8,635,2700,5309,9688008,14808,4255,2,6,-77
2023-09-07 16:21:36.151794,9,633,2700,5307,9688020,14802,4254,2,6,-80
2023-09-07 16:21:52.052369,10,632,2699,5308,9688138,14852,4257,2,6,-80
2023-09-07 16:22:13.010337,11,632,2699,5309,9688238,14754,4254,2,6,-81
2023-09-07 16:22:18.080127,12,631,2698,5309,9688062,14890,4259,2,6,-81
2023-09-07 16:22:33.999537,13,630,2699,5311,9688320,14824,4257,2,6,-76
2023-09-07 16:22:54.217334,14,630,2699,5312,9688121,14844,4257,2,6,-80
2023-09-07 16:23:25.979910,0,630,2699,5317,9688050,14794,4255,2,6,-77
2023-09-07 16:23:52.009828,1,631,2698,5317,9688227,14858,4254,2,6,-81
2023-09-07 16:23:57.080639,2,631,2699,5318,9688085,14806,4255,2,6,-77
2023-09-07 16:24:33.243407,4,632,2698,5319,9687939,14876,4254,2,6,-80
2023-09-07 16:24:59.984390,6,633,2697,5319,9688145,14802,4255,2,6,-76
2023-09-07 16:25:31.099710,7,633,2697,5320,9687829,14796,4256,2,6,-79
2023-09-07 16:25:36.151348,8,633,2697,5318,9688210,14780,4255,2,6,-80
2023-09-07 16:26:18.106259,10,633,2697,5317,9688222,14758,4257,2,6,-77
2023-09-07 16:26:23.142275,11,633,2697,5314,9688222,14756,4256,2,6,-80
2023-09-07 16:26:59.156886,13,632,2697,5314,9688445,14792,4256,2,6,-77
2023-09-07 16:27:35.185436,15,632,2696,5316,9688094,14810,4254,2,6,-79
2023-09-07 16:28:01.183516,1,631,2695,5313,9688165,14740,4253,2,6,-81
2023-09-07 16:28:22.122084,2,631,2695,5318,9688200,14802,4252,2,6,-82
2023-09-07 16:28:58.981676,4,633,2695,5320,9688182,14800,4254,2,6,-81
2023-09-07 16:29:04.028232,5,633,2695,5320,9687983,14822,4253,2,6,-81
2023-09-07 16:29:19.194817,6,634,2696,5322,9688141,14806,4254,2,6,-77
2023-09-07 16:29:35.090680,7,636,2695,5323,9688124,14750,4254,2,6,-77
2023-09-07 16:29:56.044758,8,637,2695,5323,9687942,14752,4254,2,6,-77
2023-09-07 16:30:11.218758,9,638,2695,5323,9688071,14838,4253,2,6,-82
2023-09-07 16:30:32.174586,10,640,2695,5324,9688030,14798,4253,2,6,-81
2023-09-07 16:31:03.196340,12,642,2695,5325,9688101,14832,4253,2,6,-81
2023-09-07 16:31:34.976066,14,643,2694,5328,9688019,14806,4257,2,6,-81
2023-09-07 16:32:00.981065,0,645,2694,5327,9688124,14796,4253,2,6,-81
2023-09-07 16:32:32.098523,1,645,2694,5328,9688265,14850,4255,2,6,-74
2023-09-07 16:32:42.218691,2,647,2694,5328,9688166,14814,4256,2,6,-74
2023-09-07 16:33:14.001476,4,647,2694,5328,9688025,14738,4255,2,6,-81
2023-09-07 16:33:24.087725,5,647,2693,5329,9688055,14824,4254,2,6,-82
2023-09-07 16:33:39.202523,6,647,2693,5328,9687932,14870,4256,2,6,-82
2023-09-07 16:33:55.033904,7,647,2693,5330,9688084,14792,4255,2,6,-81
2023-09-07 16:34:10.221688,8,647,2694,5327,9688207,14792,4256,2,6,-82
2023-09-07 16:34:31.177425,9,647,2693,5328,9688002,14716,4253,2,6,-77
2023-09-07 16:34:47.016880,10,647,2693,5329,9688155,14786,4255,2,6,-81
2023-09-07 16:35:23.121275,12,647,2693,5326,9688161,14816,4257,2,6,-77
2023-09-07 16:35:38.980157,13,647,2693,5328,9688155,14778,4258,2,6,-77
2023-09-07 16:35:49.082617,14,647,2693,5328,9688002,14782,4255,2,6,-77
2023-09-07 16:36:09.987488,15,648,2693,5326,9688091,14796,4254,2,6,-77
2023-09-07 16:36:20.075093,0,647,2691,5327,9688027,14808,4257,2,6,-81
2023-09-07 16:36:41.041994,1,647,2692,5325,9687945,14766,4255,2,6,-77
2023-09-07 16:36:56.214789,2,647,2692,5327,9687927,14800,4254,2,6,-82
2023-09-07 16:37:12.100113,3,647,2692,5327,9687950,14762,4256,2,6,-83
2023-09-07 16:37:58.978926,6,647,2691,5327,9688097,14760,4254,2,6,-82
2023-09-07 16:38:29.987313,8,646,2691,5323,9688063,14668,4253,2,6,-82
2023-09-07 16:38:50.151773,9,646,2691,5325,9688033,14744,4254,2,6,-78
2023-09-07 16:39:27.089674,11,646,2691,5325,9688151,14766,4256,2,6,-81
2023-09-07 16:39:37.194156,12,646,2691,5325,9688180,14714,4254,2,6,-82
2023-09-07 16:40:08.205955,14,647,2690,5327,9688245,15094,4253,2,6,-76
2023-09-07 16:40:45.011467,0,647,2690,5330,9688069,15176,4254,2,6,-82
2023-09-07 16:41:10.983469,1,648,2690,5330,9688228,15170,4256,2,6,-76
2023-09-07 16:41:16.040866,2,648,2690,5332,9688240,15156,4253,2,6,-82
2023-09-07 16:41:47.158638,4,649,2690,5334,9688286,15130,4256,2,6,-81
2023-09-07 16:42:24.009039,6,651,2690,5333,9688204,15172,4255,2,6,-77
2023-09-07 16:42:34.095299,7,651,2689,5335,9688193,15152,4254,2,6,-75
