Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-08 10:43:45.086283,13,460,2719,3447,9651682,20258,3172,2,6,-95
2023-06-08 10:44:01.076816,14,460,2718,3445,9651678,20372,3173,2,6,-96
2023-06-08 10:44:22.055667,0,460,2719,3447,9651576,20322,3172,2,6,-100
2023-06-08 10:44:37.294928,1,460,2719,3445,9651738,20308,3173,2,6,-94
2023-06-08 10:44:58.241551,2,460,2718,3444,9651678,20372,3173,2,6,-95
2023-06-08 10:45:14.082100,3,460,2719,3445,9651901,20352,3171,2,6,-91
2023-06-08 10:45:29.213009,4,460,2719,3447,9651905,20370,3172,2,6,-92
2023-06-08 10:58:08.045834,2,461,2724,3439,9651456,20464,3171,2,6,-98
2023-06-08 10:58:18.184749,3,461,2724,3439,9651675,20434,3174,2,6,-96
2023-06-08 10:58:34.110132,4,461,2724,3439,9651615,20368,3174,2,6,-96
2023-06-08 10:58:55.063290,5,461,2725,3439,9651704,20350,3173,2,6,-95
2023-06-08 11:02:54.182397,3,461,2726,3438,9651344,20452,3171,2,6,-96
2023-06-08 11:02:59.223288,4,461,2725,3438,9651319,20378,3171,2,6,-95
2023-06-08 11:03:15.103725,5,461,2726,3439,9651252,20382,3173,2,6,-95
2023-06-08 11:03:30.271135,6,460,2725,3441,9651231,20388,3171,2,6,-95
2023-06-08 11:05:08.253222,12,460,2726,3437,9651270,20386,3173,2,6,-96
2023-06-08 11:06:45.060638,1,460,2726,3436,9651422,20424,3171,2,6,-94
2023-06-08 11:06:50.106641,2,460,2727,3436,9651373,20468,3171,2,6,-91
2023-06-08 11:07:05.335656,3,460,2726,3435,9651352,20378,3173,2,6,-95
2023-06-08 11:07:21.275085,4,460,2726,3437,9651087,20434,3173,2,6,-92
2023-06-08 11:07:42.253758,5,460,2727,3435,9651338,20400,3172,2,6,-92
2023-06-08 11:07:53.084856,6,459,2726,3438,9651210,20418,3172,2,6,-94
2023-06-08 11:08:45.081570,9,459,2727,3436,9651197,20476,3172,2,6,-92
2023-06-08 11:09:11.119991,10,460,2727,3438,9651289,20410,3170,2,6,-96
2023-06-08 11:09:58.078977,13,459,2727,3438,9651402,20420,3172,2,6,-96
2023-06-08 11:10:08.164102,14,460,2727,3437,9651261,20488,3171,2,6,-91
2023-06-08 11:11:10.277359,2,459,2728,3436,9651382,20436,3173,2,6,-95
2023-06-08 11:11:31.185449,3,459,2727,3437,9651119,20556,3170,2,6,-101
2023-06-08 11:12:03.063419,5,459,2728,3436,9651148,20438,3172,2,6,-95
2023-06-08 11:12:29.103936,6,459,2728,3435,9651290,20460,3173,2,6,-101
2023-06-08 11:12:44.277686,7,459,2728,3434,9651158,20460,3172,2,6,-100
2023-06-08 11:12:55.090731,8,459,2728,3434,9651211,20472,3171,2,6,-92
2023-06-08 11:13:05.245420,9,459,2729,3435,9651350,20474,3171,2,6,-95
2023-06-08 11:13:26.244615,10,459,2729,3434,9651442,20486,3171,2,6,-99
2023-06-08 11:13:58.016509,12,459,2729,3433,9651421,20462,3171,2,6,-95
2023-06-08 11:14:29.100693,14,459,2729,3434,9651446,20440,3172,2,6,-91
2023-06-08 11:14:50.103230,15,459,2729,3434,9651361,20438,3173,2,6,-96
2023-06-08 11:15:06.058057,0,459,2729,3432,9651396,20412,3171,2,6,-94
2023-06-08 11:15:16.189000,1,459,2729,3433,9651463,20426,3172,2,6,-94
2023-06-08 11:15:32.133603,2,459,2728,3431,9651293,20458,3171,2,6,-94
2023-06-08 11:16:03.226581,3,459,2729,3432,9651216,20462,3173,2,6,-95
2023-06-08 11:16:19.117873,4,459,2730,3433,9651453,20458,3174,2,6,-97
2023-06-08 11:16:29.257993,5,459,2730,3431,9651170,20510,3172,2,6,-95
2023-06-08 11:16:55.279197,7,459,2730,3432,9651117,20398,3171,2,6,-95
2023-06-08 11:17:17.078175,8,459,2730,3431,9651029,20532,3172,2,6,-92
2023-06-08 11:17:27.220899,9,459,2730,3432,9651319,20516,3174,2,6,-96
2023-06-08 11:17:48.197509,10,459,2730,3432,9651160,20454,3172,2,6,-96
2023-06-08 11:18:04.060015,11,459,2730,3432,9651174,20438,3171,2,6,-96
2023-06-08 11:18:19.219133,12,459,2730,3432,9651182,20462,3172,2,6,-94
2023-06-08 11:18:35.095393,13,459,2730,3432,9651337,20406,3171,2,6,-95
2023-06-08 11:41:18.237039,0,461,2738,3418,9648590,18492,3172,2,6,-91
2023-06-08 11:41:44.254202,1,461,2738,3417,9648749,18470,3172,2,6,-95
2023-06-08 11:41:55.071833,2,461,2738,3416,9648833,18540,3171,2,6,-95
2023-06-08 11:42:21.189602,4,461,2737,3418,9648971,19358,3172,2,6,-95
2023-06-08 11:42:47.108804,5,461,2737,3417,9648879,20414,3172,2,6,-98
2023-06-08 11:43:02.269667,6,461,2737,3417,9648918,20432,3171,2,6,-94
2023-06-08 14:23:03.035521,15,484,2770,3374,9633547,20248,3173,2,6,-100
2023-06-08 14:23:18.213027,0,484,2770,3372,9633572,20308,3170,2,6,-91
2023-06-08 14:23:39.186297,1,485,2770,3372,9633604,20204,3170,2,6,-97
2023-06-08 14:24:05.196189,3,485,2770,3366,9633519,20252,3170,2,6,-95
2023-06-08 14:24:26.206158,4,485,2771,3364,9633420,20192,3172,2,6,-98
2023-06-08 14:24:42.109330,5,486,2771,3364,9633318,20204,3171,2,6,-91
2023-06-08 14:25:03.138204,6,487,2771,3355,9633371,20270,3170,2,6,-91
2023-06-08 14:25:19.049283,7,488,2771,3355,9633427,20294,3171,2,6,-92
2023-06-08 14:26:11.028646,10,489,2772,3360,9633382,20220,3171,2,6,-100
2023-06-08 14:26:31.291958,12,489,2772,3361,9633336,20202,3172,2,6,-91
2023-06-08 14:27:14.043268,14,489,2772,3348,9633601,20190,3172,2,6,-99
2023-06-08 14:27:40.027968,0,489,2773,3337,9633548,20290,3172,2,6,-98
2023-06-08 14:27:55.231666,1,489,2773,3338,9633272,20230,3171,2,6,-99
2023-06-08 14:28:16.153172,2,489,2773,3339,9633453,20248,3173,2,6,-100
2023-06-08 14:28:26.308690,3,489,2773,3333,9633293,20208,3171,2,6,-100
2023-06-08 14:28:47.222024,4,489,2773,3333,9633301,20218,3173,2,6,-100
2023-06-08 14:28:58.046126,5,489,2774,3331,9633163,20194,3172,2,6,-98
2023-06-08 14:29:39.275487,7,489,2774,3328,9633032,20316,3173,2,6,-99
2023-06-08 14:30:06.076218,9,489,2774,3326,9633156,20240,3172,2,6,-98
2023-06-08 14:30:37.176326,11,489,2774,3319,9633025,20208,3171,2,6,-91
2023-06-08 14:30:53.057980,12,489,2775,3313,9633570,20236,3171,2,6,-99
