Time,Amb,Obj,Temp,Humid,CO2,Elapsed,LightTop,LightFront
.0,640.0,23.33
2023-11-22 16:56:15,21.99,20.73,25.45,31.9,1253.36,5808444.0,640.0,23.33
2023-11-22 16:56:17,21.99,20.69,25.46,31.93,1253.51,5810444.0,640.0,23.33
2023-11-22 16:56:19,22.01,20.69,25.45,31.93,1252.75,5812444.0,640.0,23.33
2023-11-22 16:56:21,21.97,20.73,25.45,31.94,1252.75,5814444.0,640.0,23.33
2023-11-22 16:56:23,21.99,20.71,25.46,31.87,1252.74,5816444.0,640.0,23.33
2023-11-22 16:56:25,21.99,20.69,25.45,31.9,1252.57,5818444.0,640.0,23.33
2023-11-22 16:56:27,22.01,20.71,25.48,31.9,1252.74,5820444.0,640.0,23.33
2023-11-22 16:56:29,21.99,20.69,25.48,31.87,1252.96,5822444.0,640.0,23.33
2023-11-22 16:56:31,21.97,20.73,25.48,31.9,1252.37,5824444.0,640.0,23.33
2023-11-22 16:56:33,22.01,20.75,25.49,31.87,1252.21,5826444.0,640.0,23.33
2023-11-22 16:56:35,21.99,20.77,25.49,31.95,1252.48,5828444.0,640.0,23.33
2023-11-22 16:56:37,22.01,20.67,25.49,31.92,1252.71,5830444.0,640.0,23.33
2023-11-22 16:56:39,21.99,20.73,25.52,31.95,1253.09,5832444.0,640.0,23.33
2023-11-22 16:56:41,22.01,20.67,25.5,31.92,1253.22,5834444.0,640.0,23.33
2023-11-22 16:56:43,22.01,20.77,25.5,31.92,1253.85,5836444.0,640.0,23.33
2023-11-22 16:56:45,21.97,20.75,25.5,31.98,1254.13,5838444.0,640.0,23.33
2023-11-22 16:56:47,21.99,20.71,25.48,31.96,1254.0,5840444.0,643.33,23.33
2023-11-22 16:56:49,22.01,20.73,25.48,31.93,1254.06,5842444.0,640.0,23.33
2023-11-22 16:56:51,22.01,20.67,25.49,32.02,1253.92,5844444.0,640.0,23.33
2023-11-22 16:56:53,22.01,20.67,25.5,31.99,1253.71,5846444.0,640.0,23.33
2023-11-22 16:56:55,22.01,20.69,25.52,31.95,1253.8,5848444.0,640.0,23.33
2023-11-22 16:56:57,22.01,20.67,25.52,31.95,1253.94,5850444.0,640.0,23.33
2023-11-22 16:56:59,22.01,20.71,25.5,31.99,1254.37,5852444.0,643.33,23.33
2023-11-22 16:57:01,22.01,20.73,25.52,31.96,1255.24,5854444.0,640.0,23.33
2023-11-22 16:57:03,21.99,20.73,25.53,31.94,1256.49,5856444.0,640.0,23.33
2023-11-22 16:57:05,22.01,20.69,25.52,31.89,1256.45,5858444.0,640.0,23.33
2023-11-22 16:57:07,21.99,20.67,25.52,31.89,1256.71,5860444.0,640.0,23.33
2023-11-22 16:57:09,21.99,20.71,25.5,31.84,1256.64,5862444.0,640.0,23.33
2023-11-22 16:57:11,22.01,20.71,25.53,31.88,1256.6,5864444.0,640.0,23.33
2023-11-22 16:57:13,22.01,20.73,25.52,31.84,1256.54,5866444.0,640.0,23.33
2023-11-22 16:57:15,22.01,20.71,25.53,31.83,1256.44,5868444.0,643.33,23.33
2023-11-22 16:57:17,21.99,20.63,25.53,31.83,1256.75,5870444.0,640.0,23.33
2023-11-22 16:57:19,22.01,20.71,25.48,31.86,1256.69,5872444.0,640.0,23.33
2023-11-22 16:57:21,21.99,20.73,25.53,31.88,1256.16,5874444.0,640.0,23.33
2023-11-22 16:57:23,22.01,20.81,25.5,31.89,1255.99,5876444.0,640.0,23.33
2023-11-22 16:57:25,22.01,20.67,25.5,31.87,1255.68,5878444.0,640.0,23.33
2023-11-22 16:57:27,22.05,20.71,25.53,31.86,1255.33,5880444.0,640.0,23.33
2023-11-22 16:57:29,22.05,20.79,25.5,31.9,1255.26,5882444.0,640.0,23.33
2023-11-22 16:57:31,22.01,20.73,25.5,31.95,1255.37,5884444.0,640.0,23.33
2023-11-22 16:57:33,21.99,20.71,25.53,31.92,1255.42,5886444.0,640.0,23.33
2023-11-22 16:57:35,21.99,20.73,25.52,31.87,1255.87,5888444.0,640.0,23.33
2023-11-22 16:57:37,22.01,20.83,25.52,31.84,1256.49,5890444.0,640.0,23.33
2023-11-22 16:57:39,22.01,20.67,25.53,31.85,1256.46,5892444.0,640.0,23.33
2023-11-22 16:57:41,22.03,20.77,25.5,31.78,1256.37,5894444.0,640.0,23.33
2023-11-22 16:57:43,22.01,20.77,25.53,31.74,1256.66,5896444.0,640.0,23.33
2023-11-22 16:57:45,22.01,20.73,25.53,31.74,1256.25,5898444.0,640.0,23.33
2023-11-22 16:57:47,22.01,20.67,25.52,31.74,1256.43,5900444.0,640.0,23.33
2023-11-22 16:57:49,22.01,20.71,25.56,31.72,1256.18,5902444.0,640.0,23.33
2023-11-22 16:57:51,22.01,20.65,25.56,31.64,1256.43,5904444.0,640.0,23.33
2023-11-22 16:57:53,22.01,20.67,25.53,31.61,1255.99,5906444.0,640.0,23.33
2023-11-22 16:57:55,21.99,20.69,25.56,31.62,1256.38,5908444.0,640.0,23.33
2023-11-22 16:57:57,22.01,20.65,25.53,31.65,1256.36,5910444.0,640.0,23.33
2023-11-22 16:57:59,22.01,20.73,25.53,31.68,1256.59,5912444.0,636.67,23.33
2023-11-22 16:58:01,22.01,20.69,25.53,31.76,1256.41,5914444.0,640.0,23.33
2023-11-22 16:58:03,21.99,20.67,25.5,31.76,1256.7,5916444.0,640.0,23.33
2023-11-22 16:58:05,22.01,20.79,25.5,31.77,1256.43,5918444.0,640.0,23.33
2023-11-22 16:58:07,22.01,20.71,25.53,31.74,1256.19,5920444.0,640.0,23.33
2023-11-22 16:58:09,22.01,20.69,25.53,31.65,1255.83,5922444.0,640.0,23.33
2023-11-22 16:58:11,22.01,20.71,25.53,31.71,1255.75,5924444.0,640.0,23.33
2023-11-22 16:58:13,22.05,20.73,25.53,31.7,1255.71,5926444.0,640.0,23.33
2023-11-22 16:58:15,22.01,20.71,25.52,31.7,1255.04,5928444.0,640.0,23.33
2023-11-22 16:58:17,22.01,20.73,25.52,31.76,1254.82,5930444.0,640.0,23.33
2023-11-22 16:58:19,22.05,20.73,25.53,31.79,1254.22,5932444.0,640.0,23.33
2023-11-22 16:58:21,22.01,20.75,25.52,31.77,1253.67,5934444.0,640.0,23.33
2023-11-22 16:58:23,22.01,20.67,25.52,31.76,1253.36,5936444.0,640.0,23.33
2023-11-22 16:58:25,22.01,20.65,25.53,31.7,1253.46,5938444.0,640.0,23.33
2023-11-22 16:58:27,22.05,20.71,25.52,31.72,1253.01,5940444.0,640.0,23.33
2023-11-22 16:58:29,22.01,20.67,25.52,31.67,1252.58,5942444.0,640.0,23.33
2023-11-22 16:58:31,22.01,20.67,25.52,31.71,1252.33,5944444.0,636.67,23.33
2023-11-22 16:58:33,22.05,20.71,25.49,31.66,1252.47,5946444.0,640.0,23.33
2023-11-22 16:58:35,22.03,20.77,25.53,31.73,1252.64,5948444.0,640.0,23.33
2023-11-22 16:58:37,22.01,20.65,25.54,31.79,1252.72,5950444.0,640.0,23.33
2023-11-22 16:58:39,22.05,20.79,25.52,31.77,1252.77,5952444.0,640.0,23.33
2023-11-22 16:58:41,22.01,20.71,25.52,31.8,1252.24,5954444.0,640.0,23.33
2023-11-22 16:58:43,22.01,20.71,25.53,31.82,1251.48,5956444.0,636.67,23.33
2023-11-22 16:58:45,22.07,20.73,25.52,31.8,1251.57,5958444.0,640.0,23.33
2023-11-22 16:58:47,22.03,20.71,25.52,31.82,1251.35,5960444.0,640.0,23.33
2023-11-22 16:58:49,22.01,20.69,25.52,31.77,1251.45,5962444.0,640.0,23.33
2023-11-22 16:58:51,22.01,20.67,25.52,31.83,1251.38,5964444.0,640.0,23.33
2023-11-22 16:58:53,22.01,20.79,25.53,31.79,1251.65,5966444.0,640.0,23.33
2023-11-22 16:58:55,22.05,20.67,25.52,31.82,1250.99,5968444.0,640.0,23.33
2023-11-22 16:58:57,22.03,20.77,25.53,31.82,1250.93,5970444.0,640.0,23.33
2023-11-22 16:58:59,22.01,20.67,25.53,31.83,1251.16,5972444.0,640.0,23.33
2023-11-22 16:59:01,22.01,20.63,25.53,31.88,1251.3,5974444.0,640.0,23.33
2023-11-22 16:59:03,22.05,20.75,25.53,31.79,1251.52,5976444.0,640.0,23.33
2023-11-22 16:59:05,22.01,20.73,25.53,31.8,1251.44,5978444.0,640.0,23.33
2023-11-22 16:59:07,22.07,20.65,25.53,31.79,1251.17,5980444.0,640.0,23.33
2023-11-22 16:59:09,22.05,20.65,25.52,31.84,1251.49,5982444.0,640.0,23.33
2023-11-22 16:59:11,22.03,20.75,25.53,31.86,1251.26,5984444.0,640.0,23.33
2023-11-22 16:59:13,22.03,20.67,25.56,31.85,1251.69,5986444.0,640.0,23.33
2023-11-22 16:59:15,22.07,20.75,25.53,31.86,1251.33,5988444.0,640.0,23.33
2023-11-22 16:59:17,22.03,20.77,25.56,31.83,1251.78,5990444.0,640.0,23.33
2023-11-22 16:59:19,22.03,20.71,25.54,31.8,1251.91,5992444.0,640.0,23.33
2023-11-22 16:59:21,22.05,20.77,25.56,31.76,1252.14,5994444.0,640.0,23.33
2023-11-22 16:59:23,21.99,20.73,25.54,31.82,1251.32,5996444.0,640.0,23.33
2023-11-22 16:59:25,22.03,20.71,25.54,31.86,1250.8,5998444.0,640.0,23.33
2023-11-22 16:59:27,22.03,20.69,25.54,31.91,1250.92,6000444.0,640.0,23.33
2023-11-22 16:59:29,22.01,20.67,25.53,31.91,1250.96,6002444.0,640.0,23.33
2023-11-22 16:59:31,22.03,20.81,25.53,31.89,1251.23,6004444.0,640.0,23.33
2023-11-22 16:59:33,22.01,20.71,25.54,31.88,1251.89,6006444.0,640.0,23.33
2023-11-22 16:59:35,22.03,20.79,25.54,31.89,1252.55,6008444.0,636.67,23.33
