Time,Amb,Obj,Temp,Humid,CO2,Elapsed,LightTop,LightFront
2023-12-06 18:22:09,21.51,22.07,22.77,29.55,892.58,2021926.0,273.33,103.33
2023-12-06 18:22:11,21.55,22.19,22.8,29.59,893.07,2023926.0,273.33,100.0
2023-12-06 18:22:13,21.51,22.09,22.78,29.59,892.95,2025926.0,273.33,100.0
2023-12-06 18:22:15,21.53,22.15,22.77,29.59,892.77,2027926.0,273.33,100.0
2023-12-06 18:22:17,21.51,22.09,22.78,29.6,893.15,2029926.0,273.33,103.33
2023-12-06 18:22:19,21.55,22.13,22.77,29.66,893.24,2031926.0,273.33,103.33
2023-12-06 18:22:21,21.55,22.11,22.8,29.59,893.69,2033926.0,273.33,103.33
2023-12-06 18:22:23,21.55,22.09,22.8,29.6,893.93,2035926.0,273.33,103.33
2023-12-06 18:22:25,21.55,22.13,22.8,29.63,893.52,2037926.0,273.33,103.33
2023-12-06 18:22:27,21.55,22.19,22.81,29.62,893.37,2039926.0,273.33,103.33
2023-12-06 18:22:29,21.57,22.13,22.8,29.59,893.22,2041926.0,273.33,103.33
2023-12-06 18:22:31,21.57,22.13,22.81,29.57,893.44,2043926.0,273.33,103.33
2023-12-06 18:22:33,21.57,22.11,22.8,29.55,893.26,2045926.0,273.33,103.33
2023-12-06 18:22:35,21.55,22.11,22.81,29.59,893.11,2047926.0,273.33,103.33
2023-12-06 18:22:37,21.57,22.13,22.81,29.57,893.5,2049926.0,273.33,103.33
2023-12-06 18:22:39,21.57,22.07,22.8,29.62,892.95,2051926.0,273.33,103.33
2023-12-06 18:22:41,21.57,22.11,22.8,29.55,893.36,2053926.0,273.33,103.33
2023-12-06 18:22:43,21.55,22.19,22.8,29.57,893.92,2055926.0,273.33,103.33
2023-12-06 18:22:45,21.57,22.13,22.81,29.56,893.87,2057926.0,273.33,103.33
2023-12-06 18:22:47,21.59,22.05,22.84,29.56,894.23,2059926.0,273.33,103.33
2023-12-06 18:22:49,21.57,22.09,22.81,29.49,894.64,2061926.0,273.33,103.33
2023-12-06 18:22:51,21.61,22.13,22.81,29.53,894.72,2063926.0,273.33,103.33
2023-12-06 18:22:53,21.59,22.13,22.86,29.52,895.06,2065926.0,273.33,103.33
2023-12-06 18:22:55,21.59,22.11,22.86,29.5,895.54,2067926.0,273.33,103.33
2023-12-06 18:22:57,21.61,22.07,22.81,29.55,895.28,2069926.0,273.33,103.33
2023-12-06 18:22:59,21.61,22.13,22.86,29.53,895.5,2071926.0,273.33,103.33
2023-12-06 18:23:01,21.61,22.17,22.86,29.52,895.66,2073926.0,273.33,103.33
2023-12-06 18:23:03,21.59,22.11,22.83,29.56,895.73,2075926.0,273.33,103.33
2023-12-06 18:23:05,21.57,22.07,22.83,29.55,895.65,2077926.0,273.33,103.33
2023-12-06 18:23:07,21.61,22.11,22.83,29.53,895.43,2079926.0,273.33,103.33
2023-12-06 18:23:09,21.63,22.17,22.81,29.57,895.44,2081926.0,273.33,103.33
2023-12-06 18:23:11,21.63,22.09,22.81,29.53,895.3,2083926.0,273.33,103.33
2023-12-06 18:23:13,21.63,22.19,22.81,29.53,895.62,2085926.0,273.33,103.33
2023-12-06 18:23:15,21.63,22.11,22.8,29.55,895.64,2087926.0,273.33,103.33
2023-12-06 18:23:17,21.63,22.11,22.78,29.54,895.73,2089926.0,273.33,103.33
2023-12-06 18:23:19,21.61,22.05,22.8,29.53,896.17,2091926.0,273.33,103.33
2023-12-06 18:23:21,21.65,22.25,22.81,29.55,896.69,2093926.0,273.33,103.33
2023-12-06 18:23:23,21.67,22.13,22.84,29.55,896.92,2095926.0,273.33,103.33
2023-12-06 18:23:25,21.65,22.23,22.84,29.53,896.92,2097926.0,273.33,103.33
2023-12-06 18:23:27,21.65,22.11,22.84,29.55,896.68,2099926.0,273.33,103.33
2023-12-06 18:23:29,21.63,22.17,22.81,29.55,896.96,2101926.0,273.33,103.33
2023-12-06 18:23:31,21.67,22.17,22.8,29.55,896.57,2103926.0,273.33,103.33
2023-12-06 18:23:33,21.65,22.13,22.8,29.59,897.0,2105926.0,273.33,103.33
2023-12-06 18:23:35,21.65,22.13,22.78,29.6,897.7,2107926.0,273.33,103.33
2023-12-06 18:23:37,21.65,22.21,22.8,29.6,897.42,2109926.0,273.33,103.33
2023-12-06 18:23:39,21.67,22.17,22.8,29.63,897.81,2111926.0,273.33,103.33
2023-12-06 18:23:41,21.67,22.11,22.77,29.6,898.12,2113926.0,273.33,103.33
2023-12-06 18:23:43,21.69,22.19,22.75,29.59,897.98,2115926.0,273.33,103.33
2023-12-06 18:23:45,21.67,22.11,22.77,29.63,897.9,2117926.0,273.33,103.33
2023-12-06 18:23:47,21.69,22.11,22.78,29.62,897.93,2119926.0,273.33,103.33
2023-12-06 18:23:49,21.63,21.99,22.77,29.63,897.73,2121926.0,273.33,103.33
2023-12-06 18:23:51,21.71,22.15,22.8,29.59,897.53,2123926.0,273.33,103.33
2023-12-06 18:23:53,21.69,22.21,22.78,29.56,897.19,2125926.0,273.33,103.33
2023-12-06 18:23:55,21.69,22.17,22.8,29.63,897.02,2127926.0,273.33,103.33
2023-12-06 18:23:57,21.69,22.17,22.8,29.6,897.19,2129926.0,273.33,103.33
2023-12-06 18:23:59,21.67,22.23,22.8,29.63,897.36,2131926.0,273.33,103.33
2023-12-06 18:24:01,21.67,22.15,22.78,29.62,897.61,2133926.0,273.33,103.33
2023-12-06 18:24:03,21.69,22.17,22.78,29.6,898.38,2135926.0,273.33,103.33
2023-12-06 18:24:05,21.69,22.17,22.78,29.6,898.6,2137926.0,273.33,103.33
