Time,L1,L2,Amb,Obj,Temp,Humid,CO2,Elapsed
2023-09-04 16:42:29,28.76,44.52,1181.59,20759475.0,,,,
2023-09-04 16:42:31,281.67,280.83,25.95,26.85,28.76,44.6,1181.6,20761889.0
2023-09-04 16:42:33,279.17,279.17,25.95,26.91,28.79,44.67,1181.13,20764303.0
2023-09-04 16:42:35,280.83,280.83,25.97,26.85,28.74,44.71,1181.34,20766717.0
2023-09-04 16:42:37,281.67,281.67,25.97,26.81,28.77,44.7,1180.34,20769131.0
2023-09-04 16:42:39,283.33,283.33,25.97,26.87,28.76,44.61,1181.1,20771546.0
2023-09-04 16:42:41,282.5,282.5,25.97,26.81,28.76,44.65,1181.3,20773960.0
2023-09-04 16:42:43,284.17,283.33,25.97,26.91,28.73,44.64,1181.64,20776374.0
2023-09-04 16:42:46,282.5,282.5,25.93,26.85,28.74,44.67,1181.65,20778788.0
2023-09-04 16:42:48,283.33,283.33,25.95,26.83,28.71,44.76,1181.49,20781202.0
2023-09-04 16:42:51,283.33,284.17,25.95,26.83,28.73,44.79,1181.19,20783616.0
2023-09-04 16:42:53,283.33,283.33,25.95,26.85,28.74,44.79,1182.39,20786030.0
2023-09-04 16:42:55,285.0,285.0,25.93,26.85,28.76,44.78,1182.66,20788444.0
2023-09-04 16:42:58,285.0,285.0,25.97,26.77,28.76,44.78,1181.87,20790858.0
2023-09-04 16:43:00,284.17,285.0,25.93,26.91,28.76,44.75,1182.05,20793273.0
2023-09-04 16:43:03,284.17,283.33,25.91,26.79,28.76,44.74,1181.75,20795687.0
2023-09-04 16:43:05,285.0,285.0,25.95,26.85,28.76,44.7,1181.88,20798100.0
2023-09-04 16:43:07,283.33,283.33,25.93,26.77,28.74,44.84,1180.7,20800515.0
2023-09-04 16:43:10,282.5,282.5,25.97,26.83,28.76,44.89,1181.19,20802929.0
2023-09-04 16:43:12,282.5,282.5,25.97,26.83,28.77,44.94,1181.27,20805343.0
2023-09-04 16:43:15,284.17,284.17,25.95,26.87,28.76,44.96,1181.2,20807757.0
2023-09-04 16:43:17,284.17,284.17,25.97,26.75,28.73,44.82,1182.59,20810171.0
