
Date/Time,274 [°C],274 [%RH],274 [bar],274 [ppm],274 Dew point [°C],274 Wet bulb temperature [°C],274 [g/m³],713 [m/s],713 [bar],713 [hPa],
07/09/2023 16:10:13,26.8,51.5,0.9678,672,16.0,19.5,13.13,-,0.9685,-0.018,
07/09/2023 16:10:15,26.8,51.5,0.9678,672,16.0,19.5,13.13,-,0.9684,-0.018,
07/09/2023 16:10:17,26.8,51.5,0.9678,667,16.0,19.5,13.13,-,0.9685,-0.018,
07/09/2023 16:10:19,26.8,51.5,0.9678,663,16.0,19.5,13.13,-,0.9685,-0.018,
07/09/2023 16:10:21,26.8,51.5,0.9678,663,16.0,19.5,13.13,-,0.9685,-0.018,
07/09/2023 16:10:23,26.8,51.6,0.9678,661,16.0,19.6,13.15,-,0.9685,-0.018,
07/09/2023 16:10:25,26.8,51.6,0.9678,662,16.0,19.6,13.15,-,0.9685,-0.018,
07/09/2023 16:10:27,26.8,51.6,0.9678,662,16.0,19.6,13.15,-,0.9685,-0.018,
07/09/2023 16:10:29,26.8,51.5,0.9678,660,16.0,19.5,13.13,-,0.9685,-0.018,
07/09/2023 16:10:31,26.8,51.4,0.9678,661,15.9,19.5,13.10,-,0.9685,-0.018,
07/09/2023 16:10:33,26.8,51.4,0.9678,661,15.9,19.5,13.10,-,0.9685,-0.018,
07/09/2023 16:10:35,26.8,51.4,0.9678,660,15.9,19.5,13.10,-,0.9684,-0.018,
07/09/2023 16:10:37,26.8,51.3,0.9678,660,15.9,19.5,13.08,-,0.9685,-0.018,
07/09/2023 16:10:39,26.8,51.3,0.9678,660,15.9,19.5,13.08,-,0.9685,-0.018,
07/09/2023 16:10:41,26.8,51.3,0.9678,657,15.9,19.5,13.08,-,0.9685,-0.018,
07/09/2023 16:10:43,26.8,51.4,0.9677,658,15.9,19.5,13.10,-,0.9685,-0.018,
07/09/2023 16:10:45,26.8,51.4,0.9677,658,15.9,19.5,13.10,-,0.9685,-0.018,
07/09/2023 16:10:47,26.8,51.4,0.9678,658,15.9,19.5,13.10,-,0.9685,-0.018,
07/09/2023 16:10:49,26.8,51.4,0.9678,658,15.9,19.5,13.10,-,0.9684,-0.018,
07/09/2023 16:10:51,26.8,51.4,0.9678,658,15.9,19.5,13.10,-,0.9685,-0.018,
07/09/2023 16:10:53,26.8,51.4,0.9678,658,15.9,19.5,13.10,-,0.9685,-0.018,
07/09/2023 16:10:55,26.8,51.4,0.9678,656,15.9,19.5,13.10,-,0.9685,-0.018,
07/09/2023 16:10:57,26.8,51.4,0.9678,656,15.9,19.5,13.10,-,0.9684,-0.018,
