Time,018 [°C],018 [%RH],018 [bar],018 [ppm],714 [bar],Amb,Obj,Temp,Humid,CO2,Elapsed,Diff_TempIR,Diff_TempSCD,Diff_Humidity,Diff_CO2
2023-09-19 13:23:33,25.3,48.8,0.9674,482.0,0.9682,24.41,25.05,26.87,45.8,553.42,13192664.0,0.89,-1.57,3.0,-71.42
2023-09-19 13:23:35,25.3,48.8,0.9674,482.0,0.9682,24.39,25.07,26.84,45.8,552.22,13194877.0,0.91,-1.54,3.0,-70.22
2023-09-19 13:23:37,25.2,48.9,0.9674,484.0,0.9682,24.39,25.07,26.87,45.83,552.63,13197093.0,0.81,-1.67,3.07,-68.63
2023-09-19 13:23:39,25.3,48.9,0.9674,484.0,0.9682,24.39,25.03,26.84,45.81,553.12,13199305.0,0.91,-1.54,3.09,-69.12
2023-09-19 13:23:41,25.3,48.9,0.9674,484.0,0.9682,24.41,25.05,26.84,45.81,552.9,13201518.0,0.89,-1.54,3.09,-68.9
2023-09-19 13:23:43,25.3,48.9,0.9674,483.0,0.9682,24.41,25.05,26.84,45.81,552.9,13201518.0,0.89,-1.54,3.09,-69.9
2023-09-19 13:23:45,25.2,48.9,0.9674,484.0,0.9682,24.41,25.05,26.84,45.81,552.9,13201518.0,0.79,-1.64,3.09,-68.9
2023-09-19 13:23:47,25.2,48.9,0.9674,484.0,0.9682,24.41,25.05,26.84,45.81,552.9,13201518.0,0.79,-1.64,3.09,-68.9
2023-09-19 13:23:49,25.2,48.9,0.9674,472.0,0.9683,24.41,25.05,26.84,45.81,552.9,13201518.0,0.79,-1.64,3.09,-80.9
2023-09-19 13:23:51,25.3,49.0,0.9674,471.0,0.9682,24.41,25.05,26.84,45.81,552.9,13201518.0,0.89,-1.54,3.19,-81.9
2023-09-19 13:23:53,25.3,49.0,0.9674,471.0,0.9683,24.39,25.07,26.83,45.95,553.85,13212585.0,0.91,-1.53,3.05,-82.85
2023-09-19 13:23:55,25.2,49.0,0.9674,470.0,0.9682,24.39,25.01,26.82,45.96,554.41,13214798.0,0.81,-1.62,3.04,-84.41
2023-09-19 13:23:57,25.2,49.0,0.9674,491.0,0.9682,24.39,25.03,26.82,45.96,555.33,13217011.0,0.81,-1.62,3.04,-64.33
2023-09-19 13:23:59,25.2,49.0,0.9674,491.0,0.9683,24.39,25.07,26.79,45.97,555.08,13219223.0,0.81,-1.59,3.03,-64.08
2023-09-19 13:24:01,25.2,49.0,0.9674,492.0,0.9683,24.39,25.15,26.83,45.99,552.88,13221436.0,0.81,-1.63,3.01,-60.88
2023-09-19 13:24:03,25.2,49.0,0.9674,492.0,0.9682,24.39,25.15,26.83,45.99,552.88,13221436.0,0.81,-1.63,3.01,-60.88
2023-09-19 13:24:05,25.2,49.0,0.9674,492.0,0.9683,24.39,25.15,26.83,45.99,552.88,13221436.0,0.81,-1.63,3.01,-60.88
2023-09-19 13:24:07,25.2,49.0,0.9674,494.0,0.9682,24.39,25.15,26.83,45.99,552.88,13221436.0,0.81,-1.63,3.01,-58.88
2023-09-19 13:24:09,25.3,49.0,0.9674,495.0,0.9682,24.39,25.15,26.83,45.99,552.88,13221436.0,0.91,-1.53,3.01,-57.88
2023-09-19 13:24:11,25.3,49.0,0.9674,495.0,0.9683,24.39,25.15,26.83,45.99,552.88,13221436.0,0.91,-1.53,3.01,-57.88
2023-09-19 13:24:13,25.2,49.0,0.9674,496.0,0.9683,24.39,25.15,26.83,45.99,552.88,13221436.0,0.81,-1.63,3.01,-56.88
2023-09-19 13:24:15,25.3,49.0,0.9674,495.0,0.9682,24.39,25.05,26.79,46.12,557.64,13234716.0,0.91,-1.49,2.88,-62.64
2023-09-19 13:24:17,25.3,49.0,0.9674,495.0,0.9682,24.39,25.03,26.8,46.11,563.34,13236929.0,0.91,-1.5,2.89,-68.34
2023-09-19 13:24:19,25.2,49.0,0.9674,495.0,0.9683,24.41,25.11,26.79,46.16,569.29,13239142.0,0.79,-1.59,2.84,-74.29
2023-09-19 13:24:21,25.3,49.0,0.9674,495.0,0.9682,24.37,25.13,26.74,46.23,572.88,13241355.0,0.93,-1.44,2.77,-77.88
2023-09-19 13:24:23,25.3,49.0,0.9674,495.0,0.9682,24.37,25.13,26.74,46.23,572.88,13241355.0,0.93,-1.44,2.77,-77.88
2023-09-19 13:24:25,25.2,49.0,0.9674,494.0,0.9682,24.37,25.13,26.74,46.23,572.88,13241355.0,0.83,-1.54,2.77,-78.88
2023-09-19 13:24:27,25.2,49.0,0.9674,493.0,0.9682,24.37,25.13,26.74,46.23,572.88,13241355.0,0.83,-1.54,2.77,-79.88
2023-09-19 13:24:29,25.2,49.0,0.9674,493.0,0.9682,24.37,25.13,26.74,46.23,572.88,13241355.0,0.83,-1.54,2.77,-79.88
2023-09-19 13:24:31,25.3,49.0,0.9674,492.0,0.9683,24.37,25.13,26.74,46.23,572.88,13241355.0,0.93,-1.44,2.77,-80.88
2023-09-19 13:24:33,25.3,49.0,0.9674,492.0,0.9682,24.37,25.13,26.74,46.23,572.88,13241355.0,0.93,-1.44,2.77,-80.88
2023-09-19 13:24:35,25.3,49.0,0.9674,492.0,0.9682,24.41,25.05,26.74,46.32,580.16,13254634.0,0.89,-1.44,2.68,-88.16
2023-09-19 13:24:37,25.3,49.0,0.9674,492.0,0.9682,24.39,25.03,26.79,46.35,575.56,13256847.0,0.91,-1.49,2.65,-83.56
