Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-09-07 16:02:45.988226,12,665,2716,5087,9691255,17894,4445,2,6,-75
2023-09-07 16:03:17.067407,14,663,2716,5085,9691397,17900,4441,2,6,-71
2023-09-07 16:03:33.003131,15,663,2716,5082,9691414,17902,4445,2,6,-75
2023-09-07 16:03:59.001499,0,663,2715,5078,9691409,17836,4442,2,6,-75
2023-09-07 16:09:38.987680,5,653,2714,5064,9691546,17834,4443,2,6,-74
2023-09-07 16:09:54.195523,6,653,2714,5064,9691349,17838,4442,2,6,-74
2023-09-07 16:10:10.070254,7,653,2713,5068,9691154,17822,4443,2,6,-74
2023-09-07 16:10:26.022554,8,652,2713,5070,9691177,17840,4443,2,6,-74
2023-09-07 16:10:52.066075,9,652,2714,5071,9691187,17866,4443,2,6,-74
2023-09-07 16:11:02.166574,10,651,2713,5066,9691020,17816,4443,2,6,-75
2023-09-07 16:11:23.087302,11,651,2713,5065,9691090,17824,4443,2,6,-74
2023-09-07 16:11:33.195067,12,650,2714,5066,9691060,17320,4443,2,6,-75
2023-09-07 16:11:59.997543,13,650,2713,5062,9690967,16942,4441,2,6,-74
2023-09-07 16:12:31.039481,15,650,2713,5068,9691229,16958,4444,2,6,-74
2023-09-07 16:12:41.187839,0,650,2713,5069,9691097,16956,4444,2,6,-74
2023-09-07 16:13:12.997049,2,650,2713,5069,9691167,16910,4444,2,6,-75
2023-09-07 16:13:28.153146,3,650,2713,5069,9691045,16948,4441,2,6,-70
2023-09-07 16:13:49.089538,4,650,2713,5069,9690975,16984,4443,2,6,-75
2023-09-07 16:14:05.020220,5,650,2713,5066,9691229,16924,4443,2,6,-74
2023-09-07 16:14:20.220926,6,650,2713,5065,9691289,16920,4443,2,6,-75
2023-09-07 16:14:36.121395,7,649,2713,5064,9691336,16948,4442,2,6,-75
2023-09-07 16:15:07.163553,8,649,2712,5062,9691077,16920,4442,2,6,-74
