Time,018 [°C],018 [%RH],018 [bar],018 [ppm],714 [bar],Amb,Obj,Temp,Humid,CO2,Elapsed,Diff_TempIR,Diff_TempSCD,Diff_Humidity,Diff_CO2
2023-09-20 07:51:47,23.7,49.6,0.9651,483.0,0.9658,23.03,24.05,24.38,49.26,546.82,13491.0,0.67,-0.68,0.34,-63.82
2023-09-20 07:51:49,23.8,49.6,0.9651,485.0,0.9658,23.01,23.99,24.43,49.27,545.88,15704.0,0.79,-0.63,0.33,-60.88
2023-09-20 07:51:51,23.8,49.6,0.9651,485.0,0.9658,23.05,24.19,24.43,49.23,546.43,17917.0,0.75,-0.63,0.37,-61.43
2023-09-20 07:51:53,23.8,49.6,0.965,484.0,0.9658,23.03,24.07,24.48,49.05,546.16,20130.0,0.77,-0.68,0.55,-62.16
2023-09-20 07:51:55,23.8,49.6,0.9651,482.0,0.9658,23.03,24.09,24.48,49.02,545.92,22344.0,0.77,-0.68,0.58,-63.92
2023-09-20 07:51:57,23.8,49.6,0.9651,482.0,0.9658,23.03,24.09,24.48,49.02,545.92,22344.0,0.77,-0.68,0.58,-63.92
2023-09-20 07:51:59,23.8,49.6,0.9651,481.0,0.9658,23.03,24.09,24.48,49.02,545.92,22344.0,0.77,-0.68,0.58,-64.92
2023-09-20 07:52:01,23.8,49.6,0.965,479.0,0.9658,23.03,24.09,24.48,49.02,545.92,22344.0,0.77,-0.68,0.58,-66.92
2023-09-20 07:52:03,23.8,49.6,0.965,479.0,0.9658,23.03,24.09,24.48,49.02,545.92,22344.0,0.77,-0.68,0.58,-66.92
2023-09-20 07:52:05,23.7,49.6,0.9651,478.0,0.9658,23.03,24.09,24.48,49.02,545.92,22344.0,0.67,-0.78,0.58,-67.92
2023-09-20 07:52:07,23.8,49.6,0.9651,478.0,0.9658,23.03,24.09,24.48,49.02,545.92,22344.0,0.77,-0.68,0.58,-67.92
2023-09-20 07:52:09,23.8,49.6,0.9651,478.0,0.9658,23.07,24.21,24.58,48.77,547.79,35622.0,0.73,-0.78,0.83,-69.79
2023-09-20 07:52:11,23.8,49.6,0.965,479.0,0.9658,23.07,24.13,24.6,48.68,547.99,37836.0,0.73,-0.8,0.92,-68.99
2023-09-20 07:52:13,23.8,49.6,0.9651,480.0,0.9658,23.07,24.07,24.63,48.65,547.67,40049.0,0.73,-0.83,0.95,-67.67
2023-09-20 07:52:15,23.8,49.6,0.9651,480.0,0.9658,23.07,24.15,24.63,48.6,547.22,42262.0,0.73,-0.83,1.0,-67.22
2023-09-20 07:52:17,23.8,49.6,0.965,480.0,0.9658,23.07,24.15,24.63,48.6,547.22,42262.0,0.73,-0.83,1.0,-67.22
2023-09-20 07:52:19,23.8,49.6,0.9651,479.0,0.9658,23.07,24.15,24.63,48.6,547.22,42262.0,0.73,-0.83,1.0,-68.22
2023-09-20 07:52:21,23.8,49.6,0.9651,479.0,0.9658,23.07,24.15,24.63,48.6,547.22,42262.0,0.73,-0.83,1.0,-68.22
2023-09-20 07:52:23,23.8,49.6,0.9651,479.0,0.9658,23.07,24.15,24.63,48.6,547.22,42262.0,0.73,-0.83,1.0,-68.22
2023-09-20 07:52:25,23.8,49.6,0.9651,478.0,0.9658,23.07,24.15,24.63,48.6,547.22,42262.0,0.73,-0.83,1.0,-69.22
2023-09-20 07:52:27,23.8,49.6,0.9651,478.0,0.9658,23.07,24.15,24.63,48.6,547.22,42262.0,0.73,-0.83,1.0,-69.22
2023-09-20 07:52:29,23.8,49.6,0.9651,481.0,0.9658,23.07,24.07,24.74,48.32,548.74,55541.0,0.73,-0.94,1.28,-67.74
2023-09-20 07:52:31,23.8,49.6,0.9651,482.0,0.9658,23.07,24.15,24.74,48.31,548.7,57754.0,0.73,-0.94,1.29,-66.7
2023-09-20 07:52:33,23.8,49.6,0.9651,482.0,0.9658,23.09,24.03,24.78,48.26,548.49,59968.0,0.71,-0.98,1.34,-66.49
2023-09-20 07:52:35,23.8,49.6,0.9651,485.0,0.9658,23.07,24.15,24.77,48.26,548.77,62181.0,0.73,-0.97,1.34,-63.77
2023-09-20 07:52:37,23.8,49.6,0.9651,482.0,0.9658,23.09,24.03,24.77,48.2,548.77,64393.0,0.71,-0.97,1.4,-66.77
2023-09-20 07:52:39,23.8,49.6,0.9651,482.0,0.9658,23.09,24.03,24.77,48.2,548.77,64393.0,0.71,-0.97,1.4,-66.77
2023-09-20 07:52:41,23.8,49.6,0.9651,485.0,0.9658,23.09,24.03,24.77,48.2,548.77,64393.0,0.71,-0.97,1.4,-63.77
2023-09-20 07:52:43,23.8,49.6,0.965,486.0,0.9658,23.09,24.03,24.77,48.2,548.77,64393.0,0.71,-0.97,1.4,-62.77
2023-09-20 07:52:45,23.8,49.6,0.965,486.0,0.9658,23.09,24.03,24.77,48.2,548.77,64393.0,0.71,-0.97,1.4,-62.77
2023-09-20 07:52:47,23.8,49.7,0.9651,490.0,0.9658,23.09,24.03,24.77,48.2,548.77,64393.0,0.71,-0.97,1.5,-58.77
2023-09-20 07:52:49,23.8,49.6,0.965,489.0,0.9658,23.09,24.03,24.77,48.2,548.77,64393.0,0.71,-0.97,1.4,-59.77
2023-09-20 07:52:51,23.8,49.6,0.965,489.0,0.9658,23.11,24.09,24.86,47.97,549.73,77673.0,0.69,-1.06,1.63,-60.73
2023-09-20 07:52:53,23.8,49.7,0.9651,492.0,0.9658,23.11,24.09,24.9,47.98,549.71,79886.0,0.69,-1.1,1.72,-57.71
2023-09-20 07:52:55,23.8,49.7,0.965,491.0,0.9658,23.09,24.05,24.91,47.92,550.06,82099.0,0.71,-1.11,1.78,-59.06
2023-09-20 07:52:57,23.8,49.7,0.965,491.0,0.9658,23.09,24.09,24.9,47.86,550.24,84311.0,0.71,-1.1,1.84,-59.24
2023-09-20 07:52:59,23.8,49.6,0.965,490.0,0.9658,23.09,24.09,24.9,47.86,550.24,84311.0,0.71,-1.1,1.74,-60.24
2023-09-20 07:53:01,23.8,49.7,0.965,485.0,0.9658,23.09,24.09,24.9,47.86,550.24,84311.0,0.71,-1.1,1.84,-65.24
2023-09-20 07:53:03,23.8,49.7,0.965,485.0,0.9658,23.09,24.09,24.9,47.86,550.24,84311.0,0.71,-1.1,1.84,-65.24
2023-09-20 07:53:05,23.8,49.6,0.965,484.0,0.9658,23.09,24.09,24.9,47.86,550.24,84311.0,0.71,-1.1,1.74,-66.24
2023-09-20 07:53:07,23.8,49.7,0.965,485.0,0.9658,23.09,24.09,24.9,47.86,550.24,84311.0,0.71,-1.1,1.84,-65.24
2023-09-20 07:53:09,23.8,49.7,0.965,485.0,0.9658,23.09,24.09,24.9,47.86,550.24,84311.0,0.71,-1.1,1.84,-65.24
2023-09-20 07:53:11,23.8,49.7,0.965,482.0,0.9658,23.11,24.07,25.03,47.7,550.46,97591.0,0.69,-1.23,2.0,-68.46
2023-09-20 07:53:13,23.8,49.7,0.965,481.0,0.9658,23.11,24.17,25.01,47.69,551.08,99804.0,0.69,-1.21,2.01,-70.08
2023-09-20 07:53:15,23.8,49.7,0.965,481.0,0.9657,23.13,24.07,25.03,47.64,551.65,102016.0,0.67,-1.23,2.06,-70.65
2023-09-20 07:53:17,23.8,49.7,0.9651,481.0,0.9658,23.13,24.07,25.03,47.6,551.65,104230.0,0.67,-1.23,2.1,-70.65
2023-09-20 07:53:19,23.8,49.7,0.965,485.0,0.9658,23.13,24.09,25.07,47.54,551.86,106443.0,0.67,-1.27,2.16,-66.86
2023-09-20 07:53:21,23.8,49.7,0.965,485.0,0.9658,23.13,24.09,25.07,47.54,551.86,106443.0,0.67,-1.27,2.16,-66.86
2023-09-20 07:53:23,23.8,49.6,0.965,489.0,0.9657,23.13,24.09,25.07,47.54,551.86,106443.0,0.67,-1.27,2.06,-62.86
