Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 16:12:51.328434,1,470,2833,4736,9700019,14980,4371,2,6,-78
2023-06-21 16:13:02.190542,2,469,2834,4739,9700319,15004,4369,2,6,-78
2023-06-21 16:13:33.441691,4,469,2833,4738,9700413,14982,4373,2,6,-78
2023-06-21 16:13:55.168010,5,468,2833,4737,9700684,14998,4372,2,6,-79
2023-06-21 16:14:05.266340,6,468,2834,4738,9700818,14992,4372,2,6,-79
2023-06-21 16:14:26.374436,7,468,2834,4737,9700818,15032,4373,2,6,-79
2023-06-21 16:15:24.394174,11,466,2834,4734,9700695,15046,4373,2,6,-78
2023-06-21 16:15:40.370233,12,466,2833,4733,9700643,15048,4370,2,6,-78
2023-06-21 16:16:02.218514,13,466,2835,4732,9700800,15052,4372,2,6,-78
2023-06-21 16:16:12.349306,14,466,2834,4732,9700759,15038,4372,2,6,-79
2023-06-21 16:16:33.375709,15,466,2835,4731,9700805,15078,4372,2,6,-79
2023-06-21 16:16:55.222295,0,466,2835,4732,9700870,15052,4373,2,6,-79
2023-06-21 16:17:05.423541,1,466,2835,4731,9700846,14946,4371,2,6,-78
2023-06-21 16:17:26.422926,2,465,2835,4732,9700811,15002,4373,2,6,-80
2023-06-21 16:17:58.285220,4,464,2835,4730,9700811,15072,4372,2,6,-88
2023-06-21 16:18:08.465967,5,462,2835,4729,9700517,15046,4373,2,6,-79
2023-06-21 16:18:24.428138,6,463,2835,4732,9700740,15002,4370,2,6,-79
2023-06-21 16:18:40.333767,7,462,2836,4729,9700945,15078,4372,2,6,-79
2023-06-21 16:19:33.296174,10,462,2836,4726,9700945,15042,4373,2,6,-93
2023-06-21 16:19:49.286837,11,462,2835,4729,9700975,15090,4371,2,6,-80
2023-06-21 16:20:00.161535,12,461,2836,4729,9701104,14998,4371,2,6,-91
2023-06-21 16:20:31.297906,14,461,2836,4729,9701216,15058,4371,2,6,-79
2023-06-21 16:20:58.201096,15,461,2836,4729,9701069,15030,4371,2,6,-79
2023-06-21 16:21:08.310269,0,461,2836,4729,9701292,15056,4371,2,6,-79
2023-06-21 16:21:29.382429,1,461,2836,4729,9701439,14966,4370,2,6,-88
2023-06-21 16:21:51.173556,2,461,2836,4730,9701545,14984,4371,2,6,-92
2023-06-21 16:22:06.402342,3,461,2837,4729,9701409,15020,4373,2,6,-88
2023-06-21 16:22:12.197459,4,461,2837,4731,9701303,15008,4373,2,6,-79
2023-06-21 16:22:33.336847,5,461,2837,4731,9701379,15012,4371,2,6,-78
2023-06-21 16:22:44.213633,6,462,2837,4731,9701238,14958,4372,2,6,-78
2023-06-21 16:23:05.286066,7,461,2838,4733,9701283,14982,4374,2,6,-79
2023-06-21 16:23:21.180499,8,461,2837,4731,9701179,14946,4372,2,6,-78
2023-06-21 16:23:42.225124,9,461,2837,4731,9701114,15038,4371,2,6,-79
2023-06-21 16:23:47.302101,10,461,2838,4732,9701113,14954,4372,2,6,-87
2023-06-21 16:24:14.172347,11,461,2838,4730,9701096,15010,4373,2,6,-78
2023-06-21 16:24:19.299211,12,461,2838,4730,9701078,15006,4373,2,6,-78
2023-06-21 16:24:40.407224,13,461,2838,4730,9701101,14986,4374,2,6,-78
2023-06-21 16:24:51.265235,14,462,2838,4728,9701072,14920,4372,2,6,-78
2023-06-21 16:25:17.404239,15,462,2838,4728,9701107,15034,4371,2,6,-77
2023-06-21 16:25:23.196525,0,462,2839,4730,9701106,15058,4373,2,6,-91
2023-06-21 16:25:39.194489,1,463,2838,4731,9701113,14968,4372,2,6,-91
2023-06-21 16:25:55.222328,2,464,2839,4733,9701270,14982,4373,2,6,-78
2023-06-21 16:26:21.384719,3,464,2839,4732,9701300,14960,4373,2,6,-77
2023-06-21 16:26:27.186471,4,465,2840,4733,9701258,15008,4372,2,6,-91
2023-06-21 16:26:59.213485,5,466,2839,4735,9701500,14984,4373,2,6,-77
2023-06-21 16:27:09.393940,6,466,2840,4735,9701505,14986,4373,2,6,-91
2023-06-21 16:27:20.292627,7,467,2839,4734,9701518,15002,4373,2,6,-78
2023-06-21 16:27:36.282035,8,468,2840,4736,9701663,14912,4372,2,6,-78
2023-06-21 16:28:08.311471,10,469,2841,4736,9701598,14906,4373,2,6,-77
2023-06-21 16:28:24.242577,11,470,2841,4732,9701369,15042,4373,2,6,-78
2023-06-21 16:28:40.201309,12,470,2841,4731,9701516,14938,4373,2,6,-78
