Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-22 13:17:53.638861,15,498,2823,4727,9666036,16980,2974,2,6,-90
2023-06-22 13:18:19.676265,1,501,2827,4715,9666039,17012,2974,2,6,-86
2023-06-22 13:18:35.547301,2,502,2828,4717,9666163,16972,2975,2,6,-93
2023-06-22 13:18:45.641726,3,503,2829,4704,9666237,16946,2978,2,6,-85
2023-06-22 13:19:06.580689,4,505,2829,4701,9666247,17030,2975,2,6,-92
2023-06-22 13:19:22.602867,5,506,2829,4706,9666200,16998,2976,2,6,-87
2023-06-22 13:20:04.528400,7,510,2829,4711,9666617,17004,2976,2,6,-92
2023-06-22 13:20:09.581906,8,512,2829,4716,9666403,16968,2973,2,6,-87
2023-06-22 13:20:46.558835,10,514,2828,4708,9666453,16918,2976,2,6,-85
2023-06-22 13:21:17.623826,12,515,2827,4716,9666195,17026,2974,2,6,-85
2023-06-22 13:21:48.716353,14,517,2826,4700,9666482,16888,2976,2,6,-93
2023-06-22 13:22:04.558134,15,518,2826,4686,9666316,16924,2975,2,6,-93
2023-06-22 13:22:24.815104,0,518,2826,4687,9666651,16942,2975,2,6,-91
2023-06-22 13:22:56.529503,2,521,2825,4707,9666371,16960,2977,2,6,-90
2023-06-22 13:23:11.788522,3,522,2824,4716,9666482,16988,2977,2,6,-90
2023-06-22 13:23:32.831335,4,523,2823,4724,9666635,16922,2978,2,6,-90
2023-06-22 13:23:43.642896,5,524,2823,4728,9666514,16986,2977,2,6,-86
2023-06-22 13:24:04.629882,6,525,2823,4732,9666809,17032,2977,2,6,-91
2023-06-22 13:24:20.556329,7,527,2822,4732,9666754,17072,2978,2,6,-91
2023-06-22 13:24:40.773521,8,527,2822,4729,9666657,17092,2976,2,6,-94
2023-06-22 13:24:56.676226,9,529,2822,4720,9666912,17008,2978,2,6,-92
2023-06-22 13:25:22.747870,10,528,2821,4721,9666803,17042,2977,2,6,-85
2023-06-22 13:25:33.619511,11,528,2820,4723,9666801,16968,2978,2,6,-85
2023-06-22 13:25:43.768592,12,528,2820,4730,9666652,17030,2976,2,6,-86
2023-06-22 13:25:59.676848,13,528,2820,4732,9666907,17060,2978,2,6,-85
2023-06-22 13:26:15.693082,14,528,2820,4734,9666976,17000,2978,2,6,-86
2023-06-22 13:26:36.693387,15,528,2819,4728,9666879,16996,2975,2,6,-98
