Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-22 13:17:53.639005,11,505,2840,4799,9666916,17486,4593,2,6,-80
2023-06-22 13:18:09.571595,12,505,2842,4793,9666872,17468,4595,2,6,-90
2023-06-22 13:18:29.827728,13,506,2845,4790,9666950,17456,4594,2,6,-82
2023-06-22 13:18:45.641489,14,507,2845,4770,9666908,17440,4595,2,6,-93
2023-06-22 13:19:00.818833,15,508,2846,4759,9666917,17442,4596,2,6,-91
2023-06-22 13:19:16.758589,0,509,2847,4763,9667099,17450,4596,2,6,-90
2023-06-22 13:19:32.726541,1,511,2847,4768,9667094,17448,4596,2,6,-91
2023-06-22 13:19:48.627492,2,512,2846,4771,9666997,17396,4599,2,6,-90
2023-06-22 13:20:14.659112,3,515,2846,4775,9667089,17418,4597,2,6,-81
2023-06-22 13:20:24.771928,4,517,2846,4771,9667212,17406,4598,2,6,-90
2023-06-22 13:20:46.559144,5,519,2846,4767,9667232,17452,4597,2,6,-80
2023-06-22 13:20:56.674779,6,521,2845,4770,9667020,17466,4598,2,6,-86
2023-06-22 13:21:12.560448,7,522,2844,4777,9667203,17416,4594,2,6,-88
2023-06-22 13:21:38.613686,8,523,2844,4775,9667193,17334,4597,2,6,-88
2023-06-22 13:21:48.716018,9,524,2843,4762,9667096,17354,4596,2,6,-88
2023-06-22 13:22:09.603315,10,524,2843,4750,9667406,17358,4595,2,6,-91
2023-06-22 13:22:19.689720,11,525,2842,4743,9667252,17380,4596,2,6,-86
2023-06-22 13:22:50.762027,13,527,2841,4763,9667210,17410,4595,2,6,-85
2023-06-22 13:23:17.604483,14,528,2840,4771,9667388,17444,4596,2,6,-88
2023-06-22 13:23:27.726635,15,529,2840,4782,9667349,17442,4594,2,6,-86
2023-06-22 13:23:48.711760,0,530,2839,4785,9667434,17442,4596,2,6,-88
2023-06-22 13:23:59.570877,1,532,2839,4788,9667452,17464,4596,2,6,-82
2023-06-22 13:24:14.750102,2,532,2838,4793,9667529,17374,4595,2,6,-96
2023-06-22 13:24:35.717180,3,534,2838,4790,9667774,17432,4595,2,6,-89
2023-06-22 13:24:56.675885,4,534,2838,4782,9667642,17390,4596,2,6,-88
2023-06-22 13:25:06.795338,5,534,2837,4781,9667623,17494,4597,2,6,-87
2023-06-22 13:25:22.748476,6,534,2837,4783,9667790,17454,4595,2,6,-92
2023-06-22 13:25:38.685683,7,535,2837,4788,9667898,17414,4595,2,6,-89
2023-06-22 13:25:54.620043,8,535,2836,4789,9667616,17478,4596,2,6,-91
2023-06-22 13:26:26.554374,10,535,2835,4781,9667812,17488,4596,2,6,-91
2023-06-22 13:26:57.665775,11,535,2835,4771,9667851,17450,4595,2,6,-89
2023-06-22 13:27:02.718821,12,534,2834,4772,9667780,17414,4595,2,6,-90
2023-06-22 13:27:28.782001,13,534,2834,4772,9667959,17482,4597,2,6,-87
2023-06-22 13:27:39.632709,14,534,2834,4762,9668020,17492,4596,2,6,-95
2023-06-22 13:27:55.560662,15,533,2833,4751,9668075,17520,4597,2,6,-84
2023-06-22 13:28:26.677060,1,534,2832,4770,9667863,17408,4597,2,6,-96
2023-06-22 13:28:47.619232,2,535,2833,4785,9668140,17480,4597,2,6,-94
2023-06-22 13:28:57.771440,3,535,2832,4805,9667903,17494,4596,2,6,-94
2023-06-22 13:29:18.671585,4,536,2832,4822,9667938,17532,4598,2,6,-96
2023-06-22 13:29:28.793983,5,536,2832,4843,9667851,17486,4596,2,6,-96
2023-06-22 13:29:49.748189,6,536,2832,4847,9667876,17484,4596,2,6,-94
2023-06-22 13:30:05.597602,7,536,2832,4854,9667684,17450,4596,2,6,-83
2023-06-22 13:30:26.594333,8,535,2832,4858,9667789,17482,4596,2,6,-98
2023-06-22 13:30:57.582987,10,535,2832,4877,9667591,17466,4597,2,6,-89
2023-06-22 13:31:07.661784,11,534,2831,4897,9667332,17460,4596,2,6,-91
2023-06-22 13:31:28.643576,12,532,2832,4906,9667583,17428,4596,2,6,-91
2023-06-22 13:31:54.577456,13,530,2832,4914,9667649,17416,4595,2,6,-89
2023-06-22 13:31:59.612664,14,528,2832,4917,9667631,17410,4594,2,6,-88
2023-06-22 13:32:15.550741,15,526,2831,4922,9667429,17486,4596,2,6,-88
2023-06-22 13:32:46.568249,0,523,2832,4924,9667711,17388,4595,2,6,-88
2023-06-22 13:33:01.766822,1,520,2831,4927,9667604,17494,4596,2,6,-88
2023-06-22 13:33:12.611440,2,518,2832,4944,9667469,17468,4597,2,6,-87
2023-06-22 13:33:27.722632,3,516,2832,4951,9667614,17378,4596,2,6,-91
2023-06-22 13:33:38.557732,4,514,2831,4953,9667349,17400,4597,2,6,-84
2023-06-22 13:33:53.731191,5,513,2832,4960,9667661,17512,4595,2,6,-84
2023-06-22 13:34:14.623247,6,511,2832,4958,9667719,17442,4592,2,6,-86
2023-06-22 13:34:29.783486,7,509,2832,4951,9667644,17440,4596,2,6,-84
2023-06-22 13:34:45.665907,8,507,2832,4949,9667684,17406,4597,2,6,-86
2023-06-22 13:35:06.655588,9,505,2831,4953,9667779,17426,4596,2,6,-87
2023-06-22 13:35:16.753224,10,503,2832,4952,9667846,17370,4596,2,6,-88
2023-06-22 13:35:32.651803,11,502,2832,4951,9667746,17402,4594,2,6,-87
2023-06-22 13:35:53.598242,12,501,2832,4943,9667644,17354,4594,2,6,-89
2023-06-22 13:36:08.754430,13,500,2832,4930,9667609,17392,4596,2,6,-89
2023-06-22 13:36:24.688537,14,501,2831,4922,9667499,17352,4594,2,6,-89
2023-06-22 13:36:40.556345,15,501,2832,4917,9667706,17380,4595,2,6,-92
2023-06-22 13:36:55.710413,0,500,2831,4913,9667669,17370,4595,2,6,-88
2023-06-22 13:37:16.649689,1,500,2831,4915,9667586,17400,4594,2,6,-92
