Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-22 13:17:53.638712,4,504,2831,4766,9664890,16704,3036,2,6,-86
2023-06-22 13:18:03.752654,5,505,2832,4775,9664873,16732,3036,2,6,-91
2023-06-22 13:18:29.827356,7,506,2835,4797,9664892,16680,3035,2,6,-89
2023-06-22 13:19:06.580325,9,510,2837,4792,9665063,16646,3034,2,6,-86
2023-06-22 13:19:37.785502,11,514,2837,4804,9665109,16608,3035,2,6,-92
2023-06-22 13:19:58.770631,12,516,2837,4812,9665297,16688,3037,2,6,-86
2023-06-22 13:20:09.581387,13,518,2837,4817,9665396,16650,3035,2,6,-91
2023-06-22 13:20:30.606983,14,519,2837,4819,9665343,16600,3036,2,6,-93
2023-06-22 13:20:40.751567,15,520,2837,4821,9665414,16688,3037,2,6,-92
2023-06-22 13:21:01.729803,0,521,2836,4827,9665310,16644,3034,2,6,-91
2023-06-22 13:21:17.623250,1,523,2836,4828,9665363,16642,3037,2,6,-90
2023-06-22 13:22:14.646563,4,526,2834,4798,9665451,16652,3037,2,6,-92
2023-06-22 13:22:24.814971,5,526,2834,4802,9665448,16654,3036,2,6,-92
2023-06-22 13:23:06.717301,7,527,2834,4820,9665617,16646,3037,2,6,-94
2023-06-22 13:23:11.788774,8,527,2833,4827,9665628,16612,3037,2,6,-93
2023-06-22 13:23:32.829702,9,527,2834,4831,9665670,16654,3037,2,6,-93
2023-06-22 13:23:43.643514,10,528,2832,4837,9665723,16666,3035,2,6,-91
2023-06-22 13:23:59.571113,11,529,2833,4838,9665840,16632,3036,2,6,-89
2023-06-22 13:24:25.617598,12,529,2833,4838,9665903,16662,3037,2,6,-87
2023-06-22 13:24:35.717549,13,530,2832,4843,9665751,16626,3036,2,6,-89
2023-06-22 13:24:56.675421,14,531,2832,4842,9665889,16630,3037,2,6,-89
2023-06-22 13:25:06.795157,15,531,2831,4840,9665832,16662,3036,2,6,-90
2023-06-22 13:25:43.768147,1,535,2831,4845,9665839,16692,3038,2,6,-94
2023-06-22 13:25:59.677538,2,535,2831,4849,9665980,16624,3037,2,6,-92
2023-06-22 13:26:10.560866,3,535,2831,4848,9666196,16696,3037,2,6,-93
2023-06-22 13:26:36.693768,4,535,2830,4845,9666125,16702,3034,2,6,-88
2023-06-22 13:26:41.778257,5,535,2830,4843,9666097,16750,3037,2,6,-87
2023-06-22 13:27:02.718225,6,535,2830,4844,9666093,16694,3037,2,6,-93
2023-06-22 13:27:18.657412,7,535,2829,4847,9666135,16716,3036,2,6,-87
2023-06-22 13:27:39.632348,8,535,2829,4843,9666305,16648,3036,2,6,-92
2023-06-22 13:28:05.668534,10,535,2828,4824,9666120,16688,3038,2,6,-87
2023-06-22 13:28:36.805171,11,535,2828,4833,9666064,16752,3036,2,6,-89
2023-06-22 13:28:42.577300,12,535,2828,4845,9666280,16698,3037,2,6,-90
2023-06-22 13:28:57.771026,13,536,2828,4855,9666276,16672,3037,2,6,-81
2023-06-22 13:29:23.720807,14,536,2828,4872,9666078,16700,3038,2,6,-89
2023-06-22 13:29:28.794938,15,536,2828,4888,9665972,16664,3036,2,6,-89
2023-06-22 13:29:54.797457,0,536,2827,4895,9665837,16690,3035,2,6,-89
2023-06-22 13:30:26.594456,2,536,2828,4911,9665901,16664,3038,2,6,-92
2023-06-22 13:30:31.662312,3,536,2827,4916,9665773,16652,3035,2,6,-92
2023-06-22 13:30:57.583189,4,535,2828,4925,9665958,16688,3036,2,6,-90
2023-06-22 13:31:07.661979,5,534,2827,4932,9665791,16682,3035,2,6,-90
2023-06-22 13:31:54.577593,8,531,2827,4949,9665702,16588,3034,2,6,-89
2023-06-22 13:32:15.550255,9,530,2827,4959,9665695,16728,3036,2,6,-89
2023-06-22 13:32:35.719138,10,529,2827,4962,9665702,16636,3039,2,6,-92
2023-06-22 13:32:51.621436,11,526,2828,4962,9665781,16586,3037,2,6,-92
2023-06-22 13:33:01.766406,12,523,2827,4968,9665862,16630,3034,2,6,-92
2023-06-22 13:33:27.722728,13,521,2827,4970,9665756,16706,3035,2,6,-86
2023-06-22 13:33:32.757569,14,518,2828,4976,9665887,16608,3036,2,6,-87
2023-06-22 13:33:58.769865,15,516,2827,4982,9665717,16610,3033,2,6,-88
2023-06-22 13:34:04.538485,0,513,2827,4985,9665762,16640,3035,2,6,-87
2023-06-22 13:34:35.599231,1,510,2828,4986,9665848,16536,3037,2,6,-88
2023-06-22 13:34:40.631440,2,508,2828,4986,9666025,16586,3036,2,6,-88
2023-06-22 13:34:55.759001,3,506,2828,4988,9665958,16624,3037,2,6,-88
2023-06-22 13:35:22.544821,4,504,2827,4989,9665858,16578,3035,2,6,-90
2023-06-22 13:35:27.593442,5,502,2829,4991,9666269,16576,3037,2,6,-87
2023-06-22 13:35:48.548390,6,501,2828,4990,9665883,16572,3034,2,6,-88
2023-06-22 13:36:14.552473,7,500,2827,4978,9665791,16562,3034,2,6,-91
2023-06-22 13:36:19.626935,8,500,2828,4966,9665759,16524,3034,2,6,-89
2023-06-22 13:36:34.813348,9,499,2828,4960,9665742,16578,3034,2,6,-89
2023-06-22 13:37:00.768726,10,499,2827,4960,9665702,16650,3036,2,6,-93
2023-06-22 13:37:16.649970,11,499,2827,4962,9665486,16526,3035,2,6,-89
2023-06-22 13:37:26.758367,12,498,2828,4969,9665795,16528,3036,2,6,-91
2023-06-22 13:37:42.669827,13,498,2827,4972,9665685,16572,3037,2,6,-86
2023-06-22 13:37:58.571291,14,497,2827,4974,9665540,16600,3036,2,6,-90
