Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 10:49:26.810390,5,466,2703,5335,9703607,21236,2983,2,6,-63
2023-06-21 10:49:42.698294,6,466,2702,5347,9703475,21464,2980,2,6,-64
2023-06-21 10:50:13.857787,7,466,2702,5346,9703596,21202,2983,2,6,-60
2023-06-21 10:50:18.909313,8,466,2703,5339,9703750,20936,2983,2,6,-60
2023-06-21 10:50:39.932452,9,466,2703,5329,9703831,21048,2982,2,6,-64
2023-06-21 10:50:50.770068,10,466,2702,5325,9703947,21086,2981,2,6,-64
2023-06-21 10:51:11.750995,11,466,2702,5329,9703717,21298,2982,2,6,-60
2023-06-21 10:51:21.840613,12,466,2702,5338,9703689,21438,2980,2,6,-64
2023-06-21 10:51:42.715291,13,466,2701,5335,9703864,21322,2982,2,6,-64
2023-06-21 10:51:57.856834,14,466,2702,5331,9703937,21310,2981,2,6,-60
2023-06-21 10:52:18.822405,15,466,2702,5324,9703885,21262,2982,2,6,-64
2023-06-21 10:52:28.992477,0,465,2702,5331,9703798,21210,2981,2,6,-59
2023-06-21 10:52:44.802381,1,465,2702,5354,9703966,21124,2979,2,6,-64
2023-06-21 10:53:05.749593,2,465,2702,5381,9704063,21058,2981,2,6,-64
2023-06-21 10:53:31.771651,3,464,2702,5383,9704069,21538,2982,2,6,-60
2023-06-21 10:53:36.824029,4,463,2702,5386,9703983,21592,2981,2,6,-60
2023-06-21 10:54:02.872852,5,462,2702,5383,9704041,21618,2981,2,6,-60
2023-06-21 10:54:13.711514,6,461,2702,5373,9704006,21634,2982,2,6,-60
2023-06-21 10:54:23.854958,7,461,2702,5372,9704018,21564,2982,2,6,-65
2023-06-21 10:54:49.855174,8,461,2701,5371,9703753,21456,2982,2,6,-60
2023-06-21 10:55:00.774701,9,459,2701,5364,9703807,21304,2982,2,6,-60
2023-06-21 10:55:15.951098,10,458,2701,5367,9703708,21334,2982,2,6,-60
2023-06-21 10:55:31.787726,11,457,2701,5368,9703691,21434,2980,2,6,-60
2023-06-21 10:55:52.686031,12,456,2701,5368,9703634,21448,2982,2,6,-64
2023-06-21 10:56:07.865034,13,456,2701,5365,9703772,21492,2983,2,6,-60
2023-06-21 10:56:23.723017,14,455,2700,5364,9703680,21358,2981,2,6,-64
2023-06-21 10:56:59.756260,0,453,2701,5345,9703789,20806,2981,2,6,-60
2023-06-21 10:57:09.844644,1,452,2701,5338,9703795,20976,2981,2,6,-64
2023-06-21 10:57:40.786096,2,452,2701,5335,9703807,20828,2982,2,6,-60
2023-06-21 10:57:45.877769,3,451,2700,5329,9703749,20880,2981,2,6,-64
2023-06-21 10:58:22.727469,5,449,2701,5314,9703743,21106,2982,2,6,-64
2023-06-21 10:58:58.772828,7,448,2701,5318,9703755,21404,2981,2,6,-64
2023-06-21 10:59:19.689713,8,448,2702,5322,9703759,21200,2981,2,6,-59
