Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 10:49:26.810854,0,473,2762,5394,9704046,17418,4598,2,6,-92
2023-06-21 10:49:31.861823,1,472,2763,5395,9704278,17918,4599,2,6,-90
2023-06-21 10:49:47.749805,2,471,2763,5395,9703981,18228,4598,2,6,-91
2023-06-21 10:50:08.797737,3,470,2763,5382,9704078,17644,4600,2,6,-95
2023-06-21 10:50:29.827745,4,468,2764,5366,9704089,17204,4600,2,6,-89
2023-06-21 10:50:39.932706,5,468,2763,5351,9704118,17296,4598,2,6,-89
2023-06-21 10:50:50.770284,6,467,2763,5347,9704049,17202,4600,2,6,-90
2023-06-21 10:51:16.795102,7,467,2763,5349,9704026,17314,4603,2,6,-91
2023-06-21 10:51:31.922631,8,467,2763,5352,9703986,17362,4601,2,6,-89
2023-06-21 10:51:57.856738,10,468,2764,5359,9704378,17174,4600,2,6,-96
2023-06-21 10:52:13.749840,11,467,2765,5367,9704436,17230,4599,2,6,-91
2023-06-21 10:52:34.703605,12,468,2765,5383,9704453,17302,4600,2,6,-96
2023-06-21 10:53:00.702667,13,468,2765,5400,9704488,17316,4602,2,6,-89
2023-06-21 10:53:10.793319,14,467,2764,5415,9704413,17420,4600,2,6,-97
2023-06-21 10:53:20.917186,15,467,2764,5421,9704204,17940,4602,2,6,-92
2023-06-21 10:53:41.911868,0,467,2765,5425,9704551,17914,4602,2,6,-94
2023-06-21 10:53:52.755986,1,466,2765,5420,9704493,18040,4601,2,6,-96
2023-06-21 10:54:13.711784,2,466,2766,5411,9704473,17850,4601,2,6,-97
2023-06-21 10:54:28.904666,3,465,2765,5409,9704381,17578,4600,2,6,-96
2023-06-21 10:55:00.775479,5,464,2766,5393,9704199,17262,4599,2,6,-95
2023-06-21 10:55:26.745804,6,464,2766,5389,9704366,17202,4599,2,6,-93
2023-06-21 10:55:41.901149,7,464,2766,5380,9704024,17360,4601,2,6,-95
2023-06-21 10:55:57.723351,8,463,2766,5370,9704047,17684,4602,2,6,-94
2023-06-21 10:56:12.945723,9,463,2767,5360,9704144,17950,4601,2,6,-94
2023-06-21 10:56:28.769792,10,463,2768,5356,9704217,18020,4599,2,6,-93
2023-06-21 10:56:48.936221,11,463,2768,5349,9704287,17702,4601,2,6,-99
2023-06-21 10:57:04.808950,12,463,2768,5349,9704199,17418,4599,2,6,-91
2023-06-21 10:57:14.875180,13,462,2768,5347,9704087,17638,4600,2,6,-91
2023-06-21 10:57:40.786293,14,462,2768,5344,9704162,17210,4600,2,6,-94
2023-06-21 10:57:50.996723,15,462,2769,5333,9704237,17144,4602,2,6,-88
2023-06-21 10:58:06.864579,0,461,2769,5324,9704177,17116,4601,2,6,-89
2023-06-21 10:58:17.685895,1,460,2769,5309,9704149,17270,4598,2,6,-89
2023-06-21 10:58:48.693122,2,461,2769,5295,9704202,17504,4600,2,6,-89
2023-06-21 10:58:53.722602,3,460,2768,5293,9704192,17602,4599,2,6,-93
2023-06-21 10:59:19.689425,4,461,2768,5292,9704349,17224,4598,2,6,-94
2023-06-21 10:59:24.734602,5,461,2769,5290,9704312,17008,4598,2,6,-91
2023-06-21 10:59:50.681636,6,461,2768,5289,9704297,16986,4598,2,6,-93
2023-06-21 11:00:05.837640,7,462,2768,5283,9704232,17028,4597,2,6,-99
2023-06-21 11:00:15.937140,8,462,2768,5270,9704227,17068,4599,2,6,-88
2023-06-21 11:00:41.901203,9,462,2768,5263,9704297,16970,4600,2,6,-88
2023-06-21 11:00:52.696352,10,462,2768,5252,9704354,16940,4600,2,6,-93
2023-06-21 11:01:07.828608,11,462,2768,5249,9704244,16978,4598,2,6,-99
2023-06-21 11:01:38.770564,13,462,2768,5250,9704459,16978,4599,2,6,-96
2023-06-21 11:02:04.825764,14,463,2768,5249,9704581,17022,4598,2,6,-89
2023-06-21 11:02:09.895589,15,463,2769,5242,9704661,16956,4598,2,6,-94
2023-06-21 11:02:30.777159,0,463,2768,5231,9704599,17148,4599,2,6,-90
2023-06-21 11:02:51.703637,1,463,2768,5219,9704564,17018,4601,2,6,-90
2023-06-21 11:03:01.814751,2,462,2769,5225,9704819,16960,4599,2,6,-91
