Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 14:25:25.724702,3,424,2859,4578,9703198,16632,2982,2,6,-90
2023-06-21 14:25:35.848203,4,424,2860,4581,9703328,16538,2980,2,6,-86
2023-06-21 14:25:56.831383,5,426,2860,4572,9703363,16614,2981,2,6,-81
2023-06-21 14:26:12.724645,6,427,2860,4565,9703484,16634,2979,2,6,-87
2023-06-21 14:26:33.711766,7,429,2859,4559,9703347,16658,2980,2,6,-88
2023-06-21 14:26:43.825332,8,430,2859,4554,9703538,16672,2981,2,6,-83
2023-06-21 14:27:20.707955,10,432,2858,4557,9703403,16780,2982,2,6,-83
2023-06-21 14:27:46.703733,11,435,2857,4559,9703336,16738,2982,2,6,-88
2023-06-21 14:28:22.771163,14,438,2854,4561,9703164,16722,2979,2,6,-88
2023-06-21 14:28:38.720635,15,439,2853,4560,9703289,16768,2981,2,6,-89
2023-06-21 14:29:19.918355,1,443,2852,4557,9703090,16786,2982,2,6,-89
2023-06-21 14:29:30.774281,2,445,2850,4559,9702823,16834,2981,2,6,-88
2023-06-21 14:29:45.901226,3,445,2849,4562,9702942,16608,2981,2,6,-89
2023-06-21 14:30:01.747946,4,446,2848,4562,9702944,16820,2980,2,6,-86
2023-06-21 14:30:27.781673,5,447,2847,4565,9702899,16862,2981,2,6,-87
2023-06-21 14:30:48.693831,6,448,2846,4566,9702740,16808,2980,2,6,-89
2023-06-21 14:30:58.802739,7,449,2846,4570,9702828,16918,2982,2,6,-89
2023-06-21 14:31:24.727810,9,450,2845,4578,9702895,16884,2979,2,6,-91
2023-06-21 14:31:55.684044,10,451,2844,4580,9702817,16918,2982,2,6,-89
2023-06-21 14:32:05.745584,11,452,2844,4580,9702874,16932,2982,2,6,-90
2023-06-21 14:32:15.848915,12,453,2843,4580,9702762,16944,2981,2,6,-89
2023-06-21 14:32:41.918140,13,453,2842,4587,9702942,16854,2981,2,6,-89
2023-06-21 14:32:47.706548,14,454,2842,4587,9702897,16894,2981,2,6,-89
2023-06-21 14:33:08.714151,15,455,2840,4588,9702815,16922,2979,2,6,-88
2023-06-21 14:33:34.712663,0,455,2840,4588,9702849,16912,2981,2,6,-97
2023-06-21 14:33:54.942684,2,457,2839,4585,9702950,16854,2979,2,6,-91
2023-06-21 14:34:31.712131,4,458,2838,4582,9702872,16854,2981,2,6,-89
