Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 16:12:51.327069,13,478,2810,4394,9696241,18780,4651,2,5,-83
2023-06-21 16:12:56.386440,14,478,2809,4394,9696159,18868,4650,2,5,-82
2023-06-21 16:13:12.451068,15,477,2810,4392,9696447,18880,4650,2,5,-82
2023-06-21 16:13:28.343310,0,477,2810,4394,9696464,18880,4650,2,5,-82
2023-06-21 16:13:44.299293,1,477,2810,4394,9696505,18812,4649,2,5,-83
2023-06-21 16:14:00.222636,2,477,2810,4392,9696735,18796,4649,2,5,-85
2023-06-21 16:14:16.177409,3,477,2811,4392,9696789,18882,4651,2,5,-83
2023-06-21 16:14:32.203469,4,477,2811,4389,9696824,18892,4650,2,5,-83
2023-06-21 16:14:48.215159,5,477,2810,4385,9696855,18914,4654,2,5,-83
2023-06-21 16:15:03.380569,6,476,2810,4388,9696848,18898,4650,2,5,-84
2023-06-21 16:15:19.294116,7,476,2810,4386,9696687,18978,4650,2,5,-85
2023-06-21 16:15:35.311051,8,476,2810,4386,9696670,18884,4653,2,5,-83
2023-06-21 16:15:51.287287,9,475,2810,4385,9696947,18900,4650,2,5,-85
2023-06-21 16:16:07.284487,10,475,2811,4385,9696772,18868,4652,2,5,-85
2023-06-21 16:16:23.204652,11,475,2811,4384,9696765,18914,4651,2,5,-85
2023-06-21 16:16:39.204013,12,474,2810,4386,9696690,18962,4652,2,5,-86
2023-06-21 16:16:55.221923,13,473,2811,4386,9696779,18928,4654,2,5,-87
2023-06-21 16:17:11.202527,14,473,2811,4386,9696646,18886,4653,2,5,-86
2023-06-21 16:17:26.421131,15,472,2811,4384,9696526,18930,4654,2,5,-84
2023-06-21 16:17:47.398790,0,471,2811,4384,9696615,18942,4652,2,5,-81
2023-06-21 16:17:58.284630,1,471,2811,4384,9696580,18978,4653,2,5,-86
2023-06-21 16:18:19.309513,2,470,2812,4383,9696639,18898,4653,2,5,-87
2023-06-21 16:18:35.245584,3,470,2812,4386,9696673,18872,4650,2,5,-82
2023-06-21 16:18:51.163488,4,470,2812,4387,9696776,18974,4652,2,5,-86
2023-06-21 16:19:06.420579,5,470,2812,4387,9696776,18948,4652,2,5,-86
2023-06-21 16:19:22.408818,6,470,2812,4383,9697036,18898,4651,2,5,-82
2023-06-21 16:19:38.402705,7,470,2812,4381,9697057,18914,4651,2,5,-82
2023-06-21 16:19:54.358300,8,470,2812,4383,9697166,18916,4650,2,5,-87
2023-06-21 16:20:10.304998,9,470,2812,4385,9697173,18966,4651,2,5,-85
2023-06-21 16:20:26.223148,10,470,2812,4384,9697135,18916,4651,2,5,-81
2023-06-21 16:20:42.215516,11,470,2813,4384,9697135,18916,4651,2,5,-83
2023-06-21 16:20:58.200579,12,470,2812,4386,9697036,18868,4654,2,5,-83
2023-06-21 16:21:13.396140,13,470,2813,4384,9697146,18924,4652,2,5,-88
2023-06-21 16:21:29.382086,14,470,2812,4389,9697293,18956,4652,2,5,-85
2023-06-21 16:21:45.396452,15,470,2813,4389,9697409,18942,4651,2,5,-82
2023-06-21 16:22:01.300744,0,470,2813,4389,9697382,18892,4651,2,5,-86
2023-06-21 16:22:17.296774,1,470,2812,4387,9697156,18934,4650,2,5,-82
2023-06-21 16:22:33.339082,2,470,2813,4390,9697217,18876,4651,2,5,-84
2023-06-21 16:22:49.301451,3,471,2813,4391,9697235,18850,4649,2,5,-82
2023-06-21 16:23:05.284682,4,471,2814,4392,9697019,18918,4652,2,5,-86
2023-06-21 16:23:21.180747,5,471,2813,4389,9697115,18988,4651,2,5,-86
2023-06-21 16:23:36.426658,6,471,2814,4389,9697156,18880,4651,2,5,-82
2023-06-21 16:23:52.376005,7,471,2814,4386,9696967,18906,4651,2,5,-82
2023-06-21 16:24:14.172136,8,471,2814,4388,9696940,18818,4650,2,5,-89
2023-06-21 16:24:30.211913,9,471,2814,4385,9696998,18832,4649,2,5,-85
2023-06-21 16:24:46.178357,10,471,2814,4384,9697077,18914,4651,2,5,-85
2023-06-21 16:25:01.403771,11,472,2814,4388,9697159,18826,4649,2,5,-90
2023-06-21 16:25:17.404698,12,472,2814,4391,9697204,18834,4650,2,5,-88
2023-06-21 16:25:33.419988,13,472,2815,4392,9697139,18856,4649,2,5,-88
2023-06-21 16:25:49.404855,14,472,2814,4393,9697084,18860,4650,2,5,-81
2023-06-21 16:26:05.384327,15,473,2815,4390,9697361,18940,4650,2,5,-89
2023-06-21 16:26:21.384519,0,473,2815,4390,9697156,18866,4651,2,5,-85
2023-06-21 16:26:37.392430,1,473,2815,4391,9697269,18848,4650,2,5,-87
2023-06-21 16:26:53.391661,2,474,2815,4393,9697289,18938,4651,2,5,-88
2023-06-21 16:27:09.393420,3,475,2816,4393,9697639,18880,4654,2,5,-83
2023-06-21 16:27:25.399762,4,475,2815,4394,9697495,18848,4652,2,5,-83
2023-06-21 16:27:41.385056,5,476,2815,4392,9697580,18838,4649,2,5,-89
2023-06-21 16:27:57.404621,6,476,2816,4389,9697433,18890,4649,2,5,-86
2023-06-21 16:28:13.369177,7,476,2816,4388,9697663,18874,4650,2,5,-83
2023-06-21 16:28:29.301230,8,477,2816,4387,9697536,18796,4649,2,5,-85
2023-06-21 16:28:45.310132,9,479,2816,4389,9697402,18858,4649,2,5,-85
