Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 10:49:26.809694,3,474,2765,5464,9701223,15924,4374,2,6,-78
2023-06-21 10:49:47.750031,4,474,2766,5467,9701404,16164,4374,2,6,-79
2023-06-21 10:49:52.847942,5,474,2766,5471,9701216,16002,4375,2,6,-78
2023-06-21 10:50:24.747840,6,474,2766,5472,9701170,15590,4374,2,6,-82
2023-06-21 10:50:29.827550,7,474,2765,5476,9701176,15558,4374,2,6,-82
2023-06-21 10:50:50.770433,8,474,2767,5477,9701310,15684,4375,2,6,-78
2023-06-21 10:51:00.919243,9,474,2767,5479,9701462,15464,4374,2,6,-79
2023-06-21 10:51:37.691791,11,475,2767,5478,9701527,15672,4376,2,6,-79
2023-06-21 10:51:47.759930,12,475,2767,5477,9701462,15694,4374,2,6,-85
2023-06-21 10:52:13.749717,13,475,2767,5478,9701474,15658,4374,2,6,-79
2023-06-21 10:52:23.885153,14,474,2767,5480,9701562,15718,4372,2,6,-78
2023-06-21 10:52:34.702981,15,474,2766,5478,9701528,15728,4373,2,6,-83
2023-06-21 10:53:00.702505,0,474,2766,5480,9701481,15686,4374,2,6,-78
2023-06-21 10:53:31.771974,2,474,2766,5490,9701328,16122,4375,2,6,-81
2023-06-21 10:53:41.911446,3,474,2767,5497,9701562,15960,4375,2,6,-80
2023-06-21 10:54:02.873406,4,474,2765,5502,9701394,15990,4374,2,6,-80
2023-06-21 10:54:18.807294,5,474,2766,5506,9701487,15944,4374,2,6,-81
2023-06-21 10:54:34.690956,6,474,2767,5507,9701545,15936,4376,2,6,-80
2023-06-21 10:54:54.915805,7,474,2766,5506,9701352,15722,4376,2,6,-83
2023-06-21 10:55:00.775240,8,473,2766,5506,9701287,15768,4374,2,6,-82
2023-06-21 10:55:41.900725,10,472,2766,5511,9701281,15924,4374,2,6,-84
2023-06-21 10:56:02.771759,11,472,2766,5512,9701240,15986,4376,2,6,-79
2023-06-21 10:56:18.685418,12,472,2767,5512,9701328,16144,4376,2,6,-82
2023-06-21 10:56:23.722871,13,471,2766,5516,9701404,16124,4375,2,6,-78
2023-06-21 10:56:38.840747,14,470,2767,5517,9701527,15984,4375,2,6,-82
2023-06-21 10:57:24.948292,0,468,2766,5515,9701322,15980,4374,2,6,-81
2023-06-21 10:57:56.748530,2,467,2767,5512,9701404,15650,4374,2,6,-80
2023-06-21 10:58:11.909464,3,466,2767,5511,9701356,15762,4375,2,6,-82
2023-06-21 10:58:17.686094,4,465,2767,5509,9701086,15700,4374,2,6,-78
2023-06-21 10:58:48.693293,6,463,2766,5500,9701322,15846,4376,2,6,-75
2023-06-21 10:59:03.853355,7,462,2768,5497,9701509,15688,4374,2,6,-81
2023-06-21 10:59:24.734766,8,462,2767,5493,9701556,15520,4375,2,6,-79
2023-06-21 10:59:39.897285,9,461,2767,5491,9701362,15532,4375,2,6,-83
2023-06-21 10:59:55.741984,10,460,2767,5486,9701409,15472,4372,2,6,-82
2023-06-21 11:00:10.896525,11,460,2768,5483,9701473,15492,4372,2,6,-77
2023-06-21 11:00:52.696239,13,460,2768,5476,9701473,15472,4372,2,6,-86
2023-06-21 11:01:22.932847,15,460,2767,5470,9701609,15442,4374,2,6,-83
2023-06-21 11:01:48.904599,1,460,2768,5466,9701726,15614,4373,2,6,-77
2023-06-21 11:02:04.826206,2,460,2768,5464,9701867,15632,4375,2,6,-84
2023-06-21 11:02:20.700897,3,460,2768,5458,9702002,15612,4375,2,6,-80
2023-06-21 11:02:56.770899,5,459,2768,5448,9701950,15552,4376,2,6,-82
2023-06-21 11:03:06.866749,6,459,2768,5443,9702026,15546,4373,2,6,-78
2023-06-21 11:03:22.781360,7,459,2768,5435,9702167,15448,4373,2,6,-81
2023-06-21 11:04:04.703741,9,458,2768,5425,9702079,15666,4372,2,6,-79
2023-06-21 11:04:19.853490,10,457,2769,5418,9702413,15460,4374,2,6,-81
2023-06-21 11:04:35.737308,11,456,2768,5415,9702232,15476,4373,2,6,-79
2023-06-21 11:04:50.934759,12,456,2767,5410,9701997,15816,4374,2,6,-75
2023-06-21 11:05:01.732631,13,455,2767,5401,9702079,15854,4373,2,6,-78
2023-06-21 11:05:16.892005,14,455,2768,5399,9701938,15994,4373,2,6,-83
2023-06-21 11:05:48.683757,0,455,2767,5393,9701751,15940,4372,2,6,-82
2023-06-21 11:06:14.684384,1,455,2768,5391,9701914,15946,4372,2,6,-78
2023-06-21 11:06:24.781824,2,454,2768,5388,9701938,15908,4371,2,6,-82
2023-06-21 11:06:39.929903,3,454,2768,5386,9701808,16030,4372,2,6,-79
2023-06-21 11:06:55.788845,4,454,2768,5388,9701943,15946,4372,2,6,-82
2023-06-21 11:07:16.780304,5,453,2768,5385,9701879,15946,4374,2,6,-82
2023-06-21 11:07:53.690059,7,452,2768,5382,9702090,15696,4373,2,6,-77
2023-06-21 11:07:58.730978,8,451,2768,5382,9702055,15678,4372,2,6,-77
2023-06-21 11:08:24.706590,9,452,2768,5381,9702284,15738,4374,2,6,-77
2023-06-21 11:08:34.781896,10,452,2769,5380,9702289,15984,4372,2,6,-82
2023-06-21 11:08:49.918614,11,452,2769,5379,9702418,15948,4371,2,6,-82
2023-06-21 11:09:26.711063,13,451,2769,5382,9702771,15784,4373,2,6,-81
2023-06-21 11:09:46.919287,14,451,2769,5384,9702560,15576,4371,2,6,-80
2023-06-21 11:09:52.697288,15,451,2769,5382,9702912,15562,4373,2,6,-81
2023-06-21 11:10:07.846555,0,451,2768,5382,9702966,15602,4372,2,6,-80
2023-06-21 11:10:23.734487,1,451,2769,5382,9703000,15698,4374,2,6,-81
2023-06-21 11:10:54.719774,2,451,2769,5383,9702877,15830,4371,2,6,-82
2023-06-21 11:10:59.783586,3,451,2769,5383,9702924,15792,4373,2,6,-77
2023-06-21 11:11:25.771391,4,451,2769,5381,9702912,15930,4374,2,6,-75
2023-06-21 11:11:30.812746,5,451,2769,5384,9703117,15542,4370,2,6,-81
2023-06-21 11:11:56.871201,6,452,2769,5381,9702977,15794,4372,2,6,-80
2023-06-21 11:12:01.910275,7,452,2768,5378,9702901,15758,4373,2,6,-82
2023-06-21 11:12:17.834783,8,453,2768,5374,9702966,15688,4372,2,6,-83
2023-06-21 11:12:33.735097,9,453,2769,5373,9702983,16038,4372,2,6,-83
2023-06-21 11:13:03.930920,10,454,2769,5372,9703136,15988,4372,2,6,-85
2023-06-21 11:13:09.678162,11,454,2769,5368,9703065,15982,4373,2,6,-83
2023-06-21 11:13:39.872003,13,455,2768,5365,9703042,15768,4372,2,6,-82
2023-06-21 11:14:10.806913,15,456,2768,5361,9703095,15700,4374,2,6,-85
2023-06-21 11:14:36.751498,0,456,2769,5360,9702977,15846,4372,2,6,-80
2023-06-21 11:14:46.805040,1,456,2769,5359,9703106,15692,4373,2,6,-80
2023-06-21 11:15:07.688209,2,456,2768,5357,9702796,15804,4373,2,6,-80
2023-06-21 11:15:17.777187,3,456,2768,5355,9703077,16018,4374,2,6,-78
2023-06-21 11:15:43.707168,4,457,2769,5355,9703112,16072,4372,2,6,-83
2023-06-21 11:16:18.925367,6,456,2769,5348,9703129,15996,4371,2,6,-83
2023-06-21 11:16:29.754377,7,456,2769,5351,9702889,16048,4372,2,6,-78
2023-06-21 11:16:50.698961,8,456,2769,5346,9703041,16038,4372,2,6,-82
2023-06-21 11:17:00.787238,9,456,2769,5344,9702836,16024,4373,2,6,-82
2023-06-21 11:17:10.896637,10,456,2769,5343,9702759,15980,4374,2,6,-78
2023-06-21 11:17:26.712286,11,456,2769,5341,9702835,16014,4375,2,6,-78
2023-06-21 11:17:57.779966,13,456,2770,5335,9702776,15966,4375,2,6,-80
2023-06-21 11:18:23.728749,14,455,2770,5334,9702570,15950,4374,2,6,-78
2023-06-21 11:18:33.821342,15,456,2770,5333,9702406,15936,4377,2,6,-79
2023-06-21 11:18:48.947429,0,456,2770,5332,9702400,15974,4375,2,6,-79
2023-06-21 11:19:04.768297,1,456,2771,5331,9702675,16008,4373,2,6,-79
2023-06-21 11:19:25.715572,2,455,2771,5329,9702428,15958,4374,2,6,-81
2023-06-21 11:19:40.856141,3,455,2771,5330,9702405,16050,4374,2,6,-81
2023-06-21 11:19:56.750003,4,455,2770,5327,9702358,15912,4375,2,6,-83
2023-06-21 11:20:06.869971,5,455,2770,5329,9702270,15892,4375,2,6,-78
2023-06-21 11:20:27.773357,6,455,2770,5329,9702205,15864,4373,2,6,-78
2023-06-21 11:20:42.890737,7,455,2771,5327,9702593,15950,4373,2,6,-79
2023-06-21 11:21:08.909750,8,454,2771,5328,9702375,15890,4373,2,6,-77
2023-06-21 11:21:34.879164,10,454,2771,5329,9702305,15890,4373,2,6,-78
2023-06-21 11:22:05.904538,12,453,2771,5327,9702000,15856,4374,2,6,-78
2023-06-21 11:22:26.828812,13,454,2771,5324,9702316,15842,4374,2,6,-78
2023-06-21 11:22:36.938592,14,454,2771,5324,9702205,15800,4372,2,6,-82
2023-06-21 11:22:52.789721,15,454,2771,5325,9701882,15776,4373,2,6,-78
2023-06-21 11:23:13.702634,0,454,2771,5324,9701952,15806,4374,2,6,-82
2023-06-21 11:23:23.801099,1,453,2771,5323,9702087,15802,4372,2,6,-80
2023-06-21 11:23:49.732406,2,453,2771,5323,9701958,15764,4373,2,6,-82
2023-06-21 11:23:54.776938,3,453,2771,5323,9702000,15840,4373,2,6,-79
2023-06-21 11:24:20.730816,4,452,2772,5320,9702110,15954,4373,2,6,-77
2023-06-21 11:24:25.797872,5,452,2771,5320,9702028,15920,4375,2,6,-78
2023-06-21 11:24:46.744977,6,452,2771,5318,9702028,15972,4375,2,6,-78
2023-06-21 11:25:01.916651,7,452,2771,5320,9702134,15948,4374,2,6,-83
2023-06-21 11:25:22.893972,8,452,2771,5319,9702134,16020,4376,2,6,-78
2023-06-21 11:25:33.685613,9,452,2771,5316,9702222,16108,4374,2,6,-78
2023-06-21 11:26:04.763273,11,451,2771,5317,9702346,15952,4374,2,6,-78
2023-06-21 11:26:35.727628,13,451,2771,5316,9702328,15926,4371,2,6,-79
2023-06-21 11:27:11.747092,15,450,2772,5314,9702615,15954,4373,2,6,-80
2023-06-21 11:27:26.872112,0,449,2772,5312,9702509,15948,4374,2,6,-77
2023-06-21 11:27:47.813900,1,449,2772,5310,9702691,15904,4373,2,6,-81
2023-06-21 11:27:57.906715,2,449,2773,5311,9702697,15720,4376,2,6,-79
2023-06-21 11:28:13.757706,3,448,2772,5309,9702610,15894,4375,2,6,-79
2023-06-21 11:28:28.966946,4,448,2772,5309,9702762,15730,4375,2,6,-81
2023-06-21 11:28:49.862438,5,447,2772,5306,9702733,15882,4375,2,6,-79
2023-06-21 11:29:00.705006,6,447,2772,5304,9702956,15840,4376,2,6,-81
2023-06-21 11:29:31.703657,7,447,2773,5305,9702838,15790,4374,2,6,-79
2023-06-21 11:29:36.770427,8,446,2773,5303,9703038,15666,4373,2,6,-76
2023-06-21 11:30:02.690018,9,445,2773,5301,9703126,15702,4373,2,6,-81
2023-06-21 11:30:07.724122,10,446,2773,5300,9703038,15746,4375,2,6,-76
2023-06-21 11:30:43.793159,12,445,2773,5297,9703284,15950,4374,2,6,-81
2023-06-21 11:31:04.778203,13,444,2773,5294,9703625,15926,4374,2,6,-81
2023-06-21 11:31:14.858559,14,444,2773,5294,9703337,15972,4375,2,6,-76
2023-06-21 11:31:40.881848,15,443,2773,5294,9703584,16032,4373,2,6,-82
2023-06-21 11:31:45.996188,0,443,2773,5294,9703613,15984,4376,2,6,-75
2023-06-21 11:32:01.872601,1,443,2774,5294,9703589,15998,4374,2,6,-81
2023-06-21 11:32:17.736257,2,443,2773,5294,9703496,16014,4375,2,6,-81
2023-06-21 11:32:48.695839,4,442,2773,5292,9703719,15958,4372,2,6,-81
2023-06-21 11:33:24.707817,6,441,2773,5290,9703825,16044,4374,2,6,-79
2023-06-21 11:33:39.809995,7,441,2773,5288,9703660,15942,4374,2,6,-80
2023-06-21 11:34:05.771547,8,440,2774,5287,9703918,16044,4373,2,6,-76
2023-06-21 11:34:15.892485,9,440,2773,5287,9703831,16080,4373,2,6,-80
2023-06-21 11:34:42.683561,11,440,2774,5286,9704100,15880,4373,2,6,-80
2023-06-21 11:35:13.739056,13,439,2773,5282,9704072,15966,4373,2,6,-77
2023-06-21 11:35:39.707195,14,439,2774,5280,9703936,15722,4374,2,6,-79
2023-06-21 11:35:49.784403,15,439,2774,5276,9704118,15668,4372,2,6,-79
2023-06-21 11:36:10.721397,0,438,2774,5271,9704206,15622,4375,2,6,-77
2023-06-21 11:36:20.826778,1,438,2774,5272,9704242,15756,4375,2,6,-80
2023-06-21 11:36:41.686631,2,436,2773,5269,9704096,16040,4373,2,6,-80
2023-06-21 11:37:12.701961,4,433,2774,5263,9704559,16096,4373,2,6,-79
2023-06-21 11:37:22.783296,5,433,2774,5259,9704435,16030,4373,2,6,-84
2023-06-21 11:37:48.701378,6,433,2774,5258,9704500,16092,4374,2,6,-87
2023-06-21 11:37:58.775171,7,433,2774,5257,9704623,15854,4373,2,6,-85
2023-06-21 11:38:24.733812,8,433,2774,5254,9704500,15882,4375,2,6,-82
2023-06-21 11:38:34.839290,9,433,2774,5256,9704571,16000,4374,2,6,-82
2023-06-21 11:39:00.832421,11,433,2776,5257,9704651,15808,4373,2,6,-78
2023-06-21 13:32:01.810391,13,450,2790,5089,9702279,15236,4371,2,6,-83
2023-06-21 13:32:06.860562,14,451,2791,5092,9702479,15252,4374,2,6,-81
2023-06-21 13:32:22.756662,15,453,2791,5092,9702414,15152,4372,2,6,-83
2023-06-21 13:32:43.702716,0,454,2791,5091,9702296,15196,4372,2,6,-82
2023-06-21 13:32:58.948444,1,456,2791,5091,9702079,15200,4372,2,6,-82
2023-06-21 13:33:25.704402,2,458,2790,5090,9701880,15252,4372,2,6,-80
2023-06-21 13:33:30.789432,3,459,2791,5090,9702114,15148,4371,2,6,-80
2023-06-21 13:33:45.930402,4,460,2791,5088,9701979,15256,4374,2,6,-90
2023-06-21 13:34:12.716465,5,460,2791,5088,9701973,15200,4371,2,6,-87
2023-06-21 13:34:17.777358,6,461,2791,5085,9701897,15206,4372,2,6,-80
2023-06-21 13:35:14.847074,9,463,2791,5086,9701697,15110,4371,2,6,-81
2023-06-21 13:35:25.731878,10,464,2791,5087,9701638,15226,4373,2,6,-86
2023-06-21 13:35:45.933836,11,463,2791,5088,9701790,15198,4372,2,6,-85
2023-06-21 13:35:56.806459,12,463,2791,5087,9701544,15156,4372,2,6,-84
2023-06-21 13:36:33.707528,14,463,2791,5081,9701744,15180,4372,2,6,-84
2023-06-21 13:36:54.734244,15,464,2791,5082,9701709,15178,4372,2,6,-81
2023-06-21 13:36:59.799548,0,464,2791,5078,9701814,15152,4371,2,6,-84
2023-06-21 13:37:25.838444,1,463,2791,5077,9701750,15158,4370,2,6,-84
2023-06-21 13:37:30.945017,2,463,2791,5075,9701756,15194,4372,2,6,-85
2023-06-21 13:37:46.859692,3,463,2791,5072,9702038,15132,4372,2,6,-81
2023-06-21 13:38:07.868448,4,463,2791,5072,9702261,15186,4372,2,6,-81
2023-06-21 13:38:28.778562,5,463,2791,5068,9702320,15192,4372,2,6,-85
2023-06-21 13:38:49.803788,6,463,2791,5065,9702097,15130,4371,2,6,-80
2023-06-21 13:38:54.873998,7,463,2791,5062,9702420,15194,4372,2,6,-79
2023-06-21 13:39:10.808759,8,462,2791,5058,9702414,15222,4373,2,6,-84
2023-06-21 13:39:26.733744,9,462,2790,5054,9702297,15162,4371,2,6,-86
2023-06-21 13:39:41.918286,10,462,2790,5051,9702615,15198,4373,2,6,-81
2023-06-21 13:40:02.915482,11,462,2790,5050,9702421,15182,4373,2,6,-80
2023-06-21 13:40:34.769027,13,461,2791,5046,9702356,15112,4371,2,6,-86
2023-06-21 13:40:44.893852,14,461,2791,5041,9702320,15172,4372,2,6,-86
2023-06-21 13:41:10.946318,15,461,2791,5038,9702397,15168,4374,2,6,-87
2023-06-21 13:41:42.720926,1,460,2791,5032,9702338,15120,4372,2,6,-80
2023-06-21 13:42:03.725044,2,460,2790,5032,9702227,15070,4373,2,6,-80
2023-06-21 13:42:08.792698,3,460,2791,5031,9702232,15168,4371,2,6,-80
2023-06-21 13:42:24.731481,4,459,2791,5028,9702367,15074,4370,2,6,-84
2023-06-21 13:42:39.935717,5,458,2791,5027,9702167,15170,4372,2,6,-80
2023-06-21 13:42:55.832486,6,458,2791,5020,9702208,15162,4372,2,6,-80
2023-06-21 13:43:11.765381,7,457,2791,5018,9702220,15082,4372,2,6,-80
2023-06-21 13:43:32.814090,8,456,2791,5016,9702144,15148,4373,2,6,-80
2023-06-21 13:43:42.951135,9,456,2791,5015,9701873,15130,4372,2,6,-80
2023-06-21 13:44:14.728996,11,455,2791,5012,9701779,15152,4372,2,6,-80
2023-06-21 13:44:45.872249,12,455,2791,5010,9701885,15158,4372,2,6,-80
2023-06-21 13:44:56.710231,13,454,2791,5008,9701709,15106,4373,2,6,-80
2023-06-21 13:45:22.813591,15,454,2790,4999,9701697,15186,4372,2,6,-80
2023-06-21 13:45:59.714530,1,453,2790,4986,9701709,15160,4372,2,6,-87
2023-06-21 13:46:20.709944,2,453,2790,4978,9701645,15146,4372,2,6,-80
2023-06-21 13:46:25.783171,3,453,2791,4973,9701550,15168,4372,2,6,-80
2023-06-21 13:46:46.741665,4,453,2791,4969,9701485,15168,4373,2,6,-80
2023-06-21 13:46:56.904366,5,453,2791,4962,9701379,15222,4372,2,6,-80
2023-06-21 13:47:18.732165,6,451,2790,4958,9701486,15162,4373,2,6,-80
2023-06-21 13:47:33.955345,7,450,2790,4953,9701239,15158,4374,2,6,-80
2023-06-21 13:47:49.865582,8,449,2790,4949,9701216,15260,4374,2,6,-80
2023-06-21 13:48:21.017925,10,446,2790,4942,9701221,15182,4373,2,6,-80
2023-06-21 13:48:47.709302,11,446,2790,4939,9701092,15198,4372,2,6,-83
2023-06-21 13:48:52.784017,12,446,2790,4936,9701122,15166,4373,2,6,-83
2023-06-21 13:49:08.751392,13,445,2790,4933,9701380,15224,4372,2,6,-80
2023-06-21 13:49:23.954014,14,445,2790,4933,9701269,15104,4374,2,6,-80
2023-06-21 13:49:39.868868,15,444,2790,4929,9701351,15206,4373,2,6,-80
2023-06-21 13:49:55.780900,0,444,2790,4929,9701210,15154,4371,2,6,-80
2023-06-21 13:50:10.929107,1,444,2790,4927,9701362,15174,4371,2,6,-80
2023-06-21 13:50:31.911376,2,443,2790,4925,9701362,15180,4372,2,6,-80
2023-06-21 13:50:58.738574,3,444,2790,4924,9701345,15212,4373,2,6,-90
2023-06-21 13:51:14.733515,4,444,2790,4924,9701210,15102,4373,2,6,-90
2023-06-21 13:51:29.930973,5,444,2790,4922,9701269,15126,4373,2,6,-86
2023-06-21 13:51:40.779552,6,444,2791,4920,9701315,15142,4373,2,6,-79
2023-06-21 13:51:50.908962,7,444,2791,4919,9701215,15210,4371,2,6,-81
2023-06-21 13:52:11.925965,8,443,2791,4919,9701333,15146,4372,2,6,-82
