Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 14:25:19.974914,3,423,2799,5029,9701488,15310,4374,2,6,-84
2023-06-21 14:25:46.681217,4,423,2801,5047,9701304,15318,4373,2,6,-85
2023-06-21 14:25:51.748761,5,423,2802,5052,9701232,15314,4374,2,6,-83
2023-06-21 14:26:17.784127,6,424,2804,5047,9701441,15408,4372,2,6,-83
2023-06-21 14:26:22.865609,7,424,2806,5043,9701322,15422,4374,2,6,-83
2023-06-21 14:26:43.825576,8,424,2807,5036,9701450,15372,4375,2,6,-86
2023-06-21 14:26:54.700132,9,425,2809,5030,9701642,15392,4376,2,6,-85
2023-06-21 14:27:09.888979,10,425,2810,5027,9701465,15380,4375,2,6,-84
2023-06-21 14:27:35.832369,11,425,2811,5024,9701228,15364,4375,2,6,-89
2023-06-21 14:28:06.887441,13,428,2811,5019,9701222,15354,4374,2,6,-89
2023-06-21 14:28:27.860379,14,428,2813,5018,9701167,15364,4375,2,6,-76
2023-06-21 14:28:53.907304,0,430,2814,5012,9701207,15258,4374,2,6,-91
2023-06-21 14:29:09.793005,1,431,2814,5011,9701096,15418,4375,2,6,-87
2023-06-21 14:29:30.774505,2,431,2815,5008,9701212,15366,4374,2,6,-87
2023-06-21 14:29:40.875032,3,434,2814,5007,9701036,15390,4373,2,6,-86
2023-06-21 14:29:56.678539,4,435,2814,5006,9700990,15314,4374,2,6,-86
2023-06-21 14:30:16.925821,5,436,2814,5006,9701077,15338,4373,2,6,-86
2023-06-21 14:30:27.782188,6,438,2814,5006,9700902,15386,4373,2,6,-96
2023-06-21 14:30:42.908456,7,438,2814,5005,9700901,15406,4374,2,6,-88
2023-06-21 14:30:58.802087,8,439,2814,5003,9700930,15356,4372,2,6,-87
2023-06-21 14:31:13.930339,9,440,2814,5004,9700907,15430,4374,2,6,-80
2023-06-21 14:31:44.876173,11,441,2815,5007,9700942,15422,4373,2,6,-91
2023-06-21 14:32:05.745403,12,442,2815,5006,9700748,15464,4376,2,6,-90
2023-06-21 14:32:36.860298,14,443,2814,5005,9701001,15398,4374,2,6,-86
2023-06-21 14:33:08.714566,0,445,2815,5007,9701035,15466,4373,2,6,-87
2023-06-21 14:33:23.880597,1,445,2814,5007,9700983,15412,4373,2,6,-91
2023-06-21 14:33:54.942529,3,448,2815,5006,9701047,15402,4376,2,6,-95
2023-06-21 14:34:15.810076,4,449,2814,5006,9701013,15420,4375,2,6,-89
2023-06-21 14:34:31.711911,5,450,2814,5003,9701060,15366,4374,2,6,-87
2023-06-21 14:34:52.007091,6,450,2814,5002,9701201,15340,4374,2,6,-89
2023-06-21 14:35:07.896031,7,450,2814,5002,9701101,15416,4374,2,6,-87
2023-06-21 14:35:28.862519,8,450,2814,5000,9701160,15452,4373,2,6,-88
2023-06-21 14:35:39.718236,9,450,2814,4999,9700872,15304,4374,2,6,-89
2023-06-21 14:35:54.921121,10,451,2814,4997,9701225,15262,4376,2,6,-88
2023-06-21 14:36:15.917563,11,451,2814,4997,9701554,15260,4375,2,6,-89
2023-06-21 14:36:21.722391,12,451,2814,4995,9701407,15478,4374,2,6,-90
2023-06-21 14:36:42.720348,13,451,2814,4993,9701507,15352,4375,2,6,-89
2023-06-21 14:36:57.920845,14,452,2814,4990,9701525,15280,4373,2,6,-89
2023-06-21 14:37:08.785088,15,452,2813,4988,9701355,15230,4374,2,6,-88
2023-06-21 14:37:44.877666,1,452,2814,4985,9701654,15314,4374,2,6,-93
2023-06-21 14:38:21.784231,3,452,2813,4981,9701578,15226,4374,2,6,-90
2023-06-21 14:38:37.741500,4,452,2813,4981,9701637,15264,4375,2,6,-90
2023-06-21 14:38:47.882379,5,453,2813,4980,9701684,15222,4374,2,6,-89
2023-06-21 14:39:24.756195,7,453,2813,4979,9701626,15210,4373,2,6,-79
2023-06-21 14:39:50.780678,8,453,2813,4981,9701649,15084,4373,2,6,-85
2023-06-21 14:40:21.912865,10,453,2813,4979,9701619,15238,4376,2,6,-85
2023-06-21 14:40:32.783230,11,453,2813,4978,9701614,15208,4374,2,6,-84
2023-06-21 14:40:42.887245,12,454,2813,4979,9701591,15278,4373,2,6,-85
2023-06-21 14:40:58.780381,13,454,2813,4976,9701373,15314,4372,2,6,-85
2023-06-21 14:41:24.835076,14,453,2813,4974,9701302,15174,4373,2,6,-86
2023-06-21 14:41:29.955005,15,453,2813,4972,9701379,15238,4372,2,6,-85
2023-06-21 14:42:11.827818,1,453,2813,4971,9701202,15222,4373,2,6,-85
2023-06-21 14:42:32.793996,2,453,2813,4973,9701337,15202,4375,2,6,-86
2023-06-21 14:42:53.705034,4,453,2813,4968,9701273,15254,4377,2,6,-86
2023-06-21 14:43:13.976141,5,453,2813,4967,9701202,15222,4372,2,6,-85
2023-06-21 14:43:24.827080,6,453,2813,4966,9701185,15294,4374,2,6,-86
2023-06-21 14:44:01.706908,8,453,2812,4962,9701115,15158,4374,2,6,-85
2023-06-21 14:44:11.866869,9,453,2813,4961,9701067,15138,4372,2,6,-85
2023-06-21 14:44:27.793963,10,453,2813,4957,9701126,15144,4370,2,6,-85
2023-06-21 14:44:43.853516,11,453,2812,4957,9701156,15146,4373,2,6,-84
2023-06-21 14:45:25.891334,13,453,2813,4955,9701073,15192,4376,2,6,-83
2023-06-21 14:45:51.923061,15,453,2812,4951,9701186,15166,4376,2,6,-87
2023-06-21 14:46:23.770182,1,452,2812,4943,9701245,15140,4375,2,6,-85
2023-06-21 14:46:54.939315,3,452,2812,4935,9701415,15258,4376,2,6,-85
2023-06-21 14:47:10.880468,4,451,2811,4931,9701269,15240,4374,2,6,-84
2023-06-21 14:47:26.730571,5,451,2812,4930,9701386,15200,4374,2,6,-84
2023-06-21 14:47:52.793766,6,450,2811,4927,9701434,15306,4375,2,6,-85
2023-06-21 14:48:02.921706,7,450,2810,4923,9701229,15248,4376,2,6,-84
2023-06-21 14:48:13.745597,8,450,2811,4921,9701581,15230,4373,2,6,-84
2023-06-21 14:48:34.712979,9,450,2811,4917,9701428,15228,4373,2,6,-84
2023-06-21 14:48:54.923852,10,450,2811,4914,9701481,15376,4373,2,6,-85
2023-06-21 14:49:15.906220,11,449,2811,4913,9701481,15336,4374,2,6,-84
2023-06-21 14:49:21.707441,12,449,2811,4909,9701364,15386,4375,2,6,-84
2023-06-21 14:49:36.848998,13,448,2810,4903,9701335,15314,4373,2,6,-80
2023-06-21 14:49:52.724776,14,448,2810,4902,9701376,15320,4374,2,6,-84
2023-06-21 14:50:07.894909,15,448,2810,4897,9701394,15248,4374,2,6,-84
2023-06-21 14:50:39.707648,1,447,2810,4894,9701347,15232,4373,2,6,-84
2023-06-21 14:51:10.826113,2,446,2810,4891,9701441,15224,4375,2,6,-85
2023-06-21 14:51:15.901470,3,445,2810,4888,9701394,15206,4375,2,6,-85
2023-06-21 14:51:31.753654,4,444,2809,4886,9701166,15198,4376,2,6,-85
2023-06-21 14:52:07.902260,6,443,2810,4884,9701341,15172,4374,2,6,-85
2023-06-21 14:52:18.761595,7,442,2809,4882,9701143,15228,4374,2,6,-85
2023-06-21 14:52:34.727433,8,442,2809,4882,9701124,15152,4374,2,6,-85
2023-06-21 14:53:05.743447,10,442,2809,4877,9701119,15198,4373,2,6,-85
2023-06-21 14:53:31.705641,11,442,2809,4877,9701236,15170,4375,2,6,-85
2023-06-21 14:53:46.858321,12,441,2808,4875,9700943,15210,4374,2,6,-85
2023-06-21 14:54:07.767879,13,441,2808,4872,9701049,15180,4374,2,6,-80
2023-06-21 14:54:12.846801,14,441,2809,4871,9701184,15186,4374,2,6,-85
2023-06-21 14:54:38.802803,15,441,2808,4870,9700885,15184,4374,2,6,-85
2023-06-21 14:54:48.888744,0,440,2807,4868,9700809,15178,4374,2,6,-85
2023-06-21 14:55:24.918416,2,439,2808,4868,9701055,15088,4373,2,6,-79
2023-06-21 14:55:35.742881,3,439,2808,4867,9701038,15168,4374,2,6,-85
2023-06-21 14:55:50.873958,4,439,2808,4863,9700967,15178,4374,2,6,-84
2023-06-21 14:56:16.794131,5,439,2808,4862,9701237,15154,4376,2,6,-88
2023-06-21 14:56:21.821566,6,438,2808,4862,9701038,15164,4376,2,6,-82
2023-06-21 14:56:52.937477,8,438,2808,4860,9701355,15170,4373,2,6,-83
2023-06-21 14:57:08.874215,9,438,2808,4858,9701285,15214,4374,2,6,-86
2023-06-21 14:57:29.871158,10,438,2808,4856,9701431,15274,4373,2,6,-83
2023-06-21 14:57:40.722797,11,438,2808,4855,9701520,15182,4374,2,6,-84
2023-06-21 14:58:01.711205,12,438,2807,4852,9701503,15212,4375,2,6,-83
2023-06-21 14:58:11.841768,13,437,2807,4852,9701526,15220,4372,2,6,-83
2023-06-21 14:58:37.881425,14,437,2808,4850,9701496,15206,4373,2,6,-83
2023-06-21 14:58:48.737499,15,437,2808,4847,9701514,15218,4374,2,6,-94
