Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 14:25:25.725047,15,433,2846,4718,9704100,16804,4598,2,6,-82
2023-06-21 14:25:56.831099,1,436,2848,4731,9703892,16802,4598,2,6,-85
2023-06-21 14:26:33.711980,3,438,2851,4703,9704081,16766,4597,2,6,-84
2023-06-21 14:27:09.889189,5,441,2851,4693,9704039,16746,4600,2,6,-84
2023-06-21 14:27:40.906402,7,443,2851,4698,9703986,16858,4598,2,6,-78
2023-06-21 14:27:51.753221,8,445,2850,4697,9703757,16760,4596,2,6,-88
2023-06-21 14:28:32.933797,10,449,2849,4691,9703702,16876,4598,2,6,-89
2023-06-21 14:28:53.907039,11,451,2849,4685,9703604,16808,4599,2,6,-90
2023-06-21 14:29:14.868364,13,453,2848,4679,9703562,16796,4598,2,6,-89
2023-06-21 14:29:35.823482,14,455,2848,4681,9703642,16790,4597,2,6,-88
2023-06-21 14:29:56.678149,15,457,2847,4684,9703600,16726,4597,2,6,-92
2023-06-21 14:30:22.720234,1,457,2846,4682,9703672,16862,4599,2,6,-92
2023-06-21 14:30:42.908356,2,457,2846,4683,9703522,16854,4598,2,6,-91
2023-06-21 14:30:58.802289,3,457,2844,4687,9703532,16858,4598,2,6,-91
2023-06-21 14:31:13.930708,4,458,2844,4690,9703418,16864,4596,2,6,-80
2023-06-21 14:31:34.790961,5,458,2844,4692,9703360,16840,4597,2,6,-93
2023-06-21 14:31:49.909333,6,458,2843,4695,9703323,16962,4597,2,6,-90
2023-06-21 14:32:05.745131,7,458,2843,4694,9703468,16880,4598,2,6,-95
2023-06-21 14:32:26.714433,8,459,2842,4692,9703640,16880,4599,2,6,-86
2023-06-21 14:32:36.859802,9,460,2841,4696,9703525,16958,4597,2,6,-86
2023-06-21 14:32:52.797220,10,460,2842,4698,9703658,16950,4599,2,6,-86
2023-06-21 14:33:13.787181,11,461,2841,4699,9703480,16952,4597,2,6,-86
2023-06-21 14:33:28.932789,12,461,2840,4698,9703435,16910,4598,2,6,-89
2023-06-21 14:33:44.825082,13,462,2840,4694,9703636,16998,4598,2,6,-90
2023-06-21 14:34:05.721200,14,463,2840,4693,9703828,16950,4599,2,6,-94
2023-06-21 14:34:15.809953,15,463,2839,4691,9703523,16978,4597,2,6,-86
2023-06-21 14:34:31.711690,0,463,2839,4691,9703651,16842,4598,2,6,-82
2023-06-21 14:34:57.768791,1,463,2839,4689,9703751,16766,4599,2,6,-87
2023-06-21 14:35:07.895826,2,463,2838,4691,9703526,16906,4597,2,6,-89
2023-06-21 14:35:23.788315,3,464,2838,4689,9703526,16874,4597,2,6,-87
2023-06-21 14:35:39.717744,4,464,2838,4686,9703548,16736,4596,2,6,-87
2023-06-21 14:36:10.818302,6,465,2837,4681,9704118,16790,4600,2,6,-87
2023-06-21 14:36:31.836305,7,465,2836,4678,9703881,16904,4599,2,6,-89
2023-06-21 14:36:47.777032,8,466,2836,4674,9704108,16822,4600,2,6,-88
2023-06-21 14:37:03.742094,9,465,2837,4673,9704096,16634,4598,2,6,-88
2023-06-21 14:37:23.921503,10,465,2836,4670,9704086,16638,4597,2,6,-86
2023-06-21 14:37:39.827406,11,465,2836,4668,9704331,16668,4599,2,6,-89
2023-06-21 14:37:49.928137,12,465,2836,4669,9704448,16648,4597,2,6,-88
2023-06-21 14:38:26.852769,14,465,2834,4669,9704156,16654,4599,2,6,-88
2023-06-21 14:39:08.833005,0,465,2834,4672,9704418,16728,4599,2,6,-87
2023-06-21 14:39:29.817874,2,465,2834,4672,9704036,16704,4601,2,6,-83
2023-06-21 14:39:50.780508,3,466,2834,4672,9704278,16700,4600,2,6,-88
2023-06-21 14:40:16.843441,5,466,2834,4668,9704216,16710,4599,2,6,-94
2023-06-21 14:40:58.780524,7,466,2833,4665,9704061,16932,4596,2,6,-94
2023-06-21 14:41:14.713100,8,466,2833,4663,9703824,16732,4597,2,6,-87
2023-06-21 14:41:29.954674,9,466,2833,4661,9703991,16726,4597,2,6,-92
2023-06-21 14:41:40.767137,10,466,2833,4664,9703951,16694,4599,2,6,-92
2023-06-21 14:42:06.779390,11,465,2833,4664,9703894,16590,4599,2,6,-90
2023-06-21 14:42:21.962739,12,466,2832,4662,9703714,16606,4597,2,6,-88
2023-06-21 14:42:47.947609,14,466,2832,4657,9703761,16612,4598,2,6,-87
2023-06-21 14:43:08.889534,15,466,2831,4654,9703571,16598,4600,2,6,-88
2023-06-21 14:43:29.885472,0,465,2832,4652,9703686,16898,4599,2,6,-88
2023-06-21 14:43:40.734440,1,465,2831,4652,9703776,16654,4598,2,6,-90
2023-06-21 14:43:55.954981,2,465,2830,4650,9703489,16564,4600,2,6,-91
2023-06-21 14:44:16.974709,3,465,2831,4648,9703601,16558,4598,2,6,-85
2023-06-21 14:44:27.794482,4,465,2830,4645,9703476,16636,4598,2,6,-80
2023-06-21 14:45:57.714793,9,464,2830,4632,9703764,16578,4601,2,6,-80
2023-06-21 14:46:07.852976,10,464,2830,4628,9703786,16580,4599,2,6,-92
2023-06-21 14:46:28.856724,11,463,2830,4618,9703554,16576,4597,2,6,-88
2023-06-21 14:46:39.709353,12,463,2829,4611,9703636,16616,4596,2,6,-90
2023-06-21 14:46:54.939068,13,463,2829,4607,9703796,16654,4597,2,6,-93
2023-06-21 14:47:31.799558,15,462,2829,4604,9704029,16738,4597,2,6,-91
2023-06-21 14:48:13.745355,1,461,2828,4598,9703891,16760,4599,2,6,-88
2023-06-21 14:48:18.818486,2,459,2828,4593,9704001,16802,4599,2,6,-92
2023-06-21 14:48:44.826907,3,458,2828,4591,9703817,16874,4598,2,6,-88
2023-06-21 14:48:54.923360,4,457,2827,4588,9703807,17038,4599,2,6,-92
2023-06-21 14:49:15.906536,5,457,2826,4583,9703817,16926,4600,2,6,-88
2023-06-21 14:49:31.795143,6,456,2827,4579,9703849,17096,4600,2,6,-88
2023-06-21 14:49:46.969484,7,455,2827,4577,9703989,16950,4600,2,6,-90
2023-06-21 14:50:07.894510,8,455,2826,4574,9703834,16860,4601,2,6,-88
2023-06-21 14:50:49.820974,11,453,2826,4569,9703737,16680,4599,2,6,-84
2023-06-21 14:51:15.902128,12,452,2826,4566,9703904,16760,4598,2,6,-88
2023-06-21 14:51:20.951324,13,453,2825,4566,9703709,16736,4598,2,6,-89
2023-06-21 14:51:41.863151,14,453,2825,4567,9703674,16804,4601,2,6,-89
2023-06-21 14:51:52.708462,15,452,2826,4566,9703754,16760,4599,2,6,-89
2023-06-21 14:52:07.902736,0,452,2825,4563,9703639,16732,4600,2,6,-88
2023-06-21 14:52:28.917036,1,451,2825,4563,9703627,16686,4598,2,6,-89
2023-06-21 14:52:44.839742,2,451,2825,4561,9703604,16612,4598,2,6,-88
2023-06-21 14:53:15.851959,4,449,2825,4559,9703617,16676,4602,2,6,-89
2023-06-21 14:53:51.946090,6,450,2825,4555,9703662,16768,4599,2,6,-87
2023-06-21 14:54:07.767724,7,450,2824,4554,9703502,16644,4598,2,6,-88
2023-06-21 14:54:28.694711,8,449,2825,4554,9703559,16646,4601,2,6,-86
2023-06-21 14:54:38.802933,9,449,2825,4552,9703454,16576,4597,2,6,-87
2023-06-21 14:55:50.873823,13,449,2824,4549,9703654,16684,4599,2,6,-83
2023-06-21 14:56:01.684857,14,448,2824,4548,9703679,16586,4597,2,6,-85
2023-06-21 14:56:31.963421,15,448,2824,4548,9703679,16596,4598,2,6,-78
2023-06-21 14:57:03.815558,1,447,2824,4548,9703789,16744,4600,2,6,-78
2023-06-21 14:57:08.874062,2,446,2824,4545,9703964,16638,4598,2,6,-78
2023-06-21 14:57:24.765507,3,445,2823,4543,9703867,16666,4597,2,6,-85
2023-06-21 14:57:55.953578,4,443,2823,4536,9703902,16672,4598,2,6,-85
2023-06-21 14:58:01.710516,5,443,2823,4536,9703937,16698,4598,2,6,-84
2023-06-21 14:58:27.751772,6,443,2823,4534,9704019,16724,4597,2,6,-78
2023-06-21 14:58:32.802357,7,442,2823,4529,9703979,16658,4598,2,6,-79
2023-06-21 14:59:09.739729,9,441,2823,4528,9703887,16720,4598,2,6,-79
2023-06-21 14:59:19.927664,10,440,2823,4526,9704124,16674,4598,2,6,-86
2023-06-21 14:59:40.947807,11,440,2822,4525,9703882,16784,4598,2,6,-86
2023-06-21 15:00:12.730433,13,439,2823,4522,9703922,16736,4598,2,6,-79
2023-06-21 15:00:48.870442,15,439,2823,4520,9704167,16712,4600,2,6,-79
2023-06-21 15:00:59.733778,0,439,2822,4517,9704109,16708,4598,2,6,-79
2023-06-21 15:01:14.944871,1,439,2822,4515,9704162,16768,4599,2,6,-85
2023-06-21 15:01:36.707006,2,438,2822,4518,9704092,16770,4599,2,6,-79
2023-06-21 15:01:51.933667,3,439,2822,4517,9704227,16772,4597,2,6,-85
2023-06-21 15:02:23.758773,5,439,2822,4515,9704204,16940,4596,2,6,-85
2023-06-21 15:02:38.963329,6,439,2821,4515,9704037,16982,4599,2,6,-79
2023-06-21 15:02:54.861219,7,439,2822,4513,9704129,16890,4597,2,6,-79
2023-06-21 15:03:10.780957,8,438,2822,4513,9704029,16952,4598,2,6,-84
2023-06-21 15:03:31.778240,9,438,2821,4508,9703892,17156,4597,2,6,-87
2023-06-21 15:03:52.740284,10,438,2821,4506,9703834,17068,4597,2,6,-85
2023-06-21 15:04:02.846455,11,438,2821,4505,9703757,17232,4598,2,6,-79
2023-06-21 15:04:39.705716,13,437,2821,4509,9703542,17208,4600,2,6,-79
2023-06-21 15:05:05.712944,14,438,2821,4506,9703437,17138,4599,2,6,-86
2023-06-21 15:05:10.774988,15,438,2821,4506,9703345,17162,4598,2,6,-85
2023-06-21 15:05:25.956306,0,438,2821,4508,9703472,17052,4599,2,6,-79
2023-06-21 15:05:41.856663,1,439,2821,4512,9703502,16974,4596,2,6,-85
2023-06-21 15:05:57.778465,2,440,2821,4513,9703554,16932,4598,2,6,-84
2023-06-21 15:06:18.729846,3,441,2821,4515,9703554,16934,4600,2,6,-85
2023-06-21 15:06:39.719711,4,443,2821,4514,9703717,16882,4599,2,6,-79
2023-06-21 15:06:49.845324,5,444,2821,4517,9703567,16970,4599,2,6,-88
2023-06-21 15:07:21.753931,7,445,2821,4509,9703607,17104,4599,2,6,-79
2023-06-21 15:07:36.934810,8,446,2821,4506,9703514,17206,4598,2,6,-85
2023-06-21 15:07:52.828038,9,446,2821,4507,9703659,17154,4598,2,6,-86
2023-06-21 15:08:28.926754,11,446,2821,4508,9703747,17204,4597,2,6,-80
2023-06-21 15:09:00.797409,13,446,2820,4507,9703762,17182,4599,2,6,-79
2023-06-21 15:09:16.716005,14,446,2821,4508,9703812,17220,4598,2,6,-85
2023-06-21 15:09:47.857488,15,446,2821,4507,9703799,17206,4601,2,6,-79
2023-06-21 15:09:52.910553,0,446,2820,4507,9703859,17226,4599,2,6,-79
2023-06-21 15:10:08.837222,1,446,2820,4507,9703732,17224,4598,2,6,-85
2023-06-21 15:10:24.714228,2,446,2821,4506,9703917,17188,4600,2,6,-84
2023-06-21 15:10:39.885214,3,446,2821,4506,9704027,17188,4599,2,6,-85
2023-06-21 15:10:55.766638,4,445,2820,4504,9703772,17236,4600,2,6,-78
2023-06-21 15:11:16.726320,5,444,2820,4503,9703849,17252,4601,2,6,-85
2023-06-21 15:11:31.917619,6,444,2820,4501,9703792,17210,4597,2,6,-78
2023-06-21 15:12:03.777821,8,442,2820,4502,9703827,17234,4598,2,6,-78
2023-06-21 15:12:19.730471,9,442,2819,4502,9703752,17150,4600,2,6,-78
2023-06-21 15:12:40.712185,10,441,2819,4501,9703839,17220,4598,2,6,-80
2023-06-21 15:12:50.830938,11,440,2820,4501,9703722,17100,4601,2,6,-79
2023-06-21 15:13:16.930706,12,439,2819,4501,9703717,17090,4601,2,6,-79
2023-06-21 15:13:27.763806,13,439,2819,4499,9703502,17062,4598,2,6,-87
2023-06-21 15:13:48.734407,14,439,2819,4501,9703510,17066,4598,2,6,-87
2023-06-21 15:13:58.876767,15,439,2819,4502,9703420,17016,4598,2,6,-88
2023-06-21 15:14:14.770116,0,438,2818,4501,9703312,17068,4599,2,6,-79
2023-06-21 15:14:30.724960,1,439,2819,4502,9703480,17052,4601,2,6,-86
2023-06-21 15:14:56.714971,2,439,2818,4503,9703120,17042,4599,2,6,-77
2023-06-21 15:15:06.834471,3,439,2818,4504,9702922,17048,4599,2,6,-78
