Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-21 14:25:25.725505,13,438,2863,4573,9701596,16508,3048,2,6,-94
2023-06-21 14:25:46.681456,14,437,2862,4595,9701715,16416,3049,2,6,-93
2023-06-21 14:26:01.873031,15,437,2861,4597,9701669,16494,3048,2,6,-93
2023-06-21 14:26:12.724440,0,437,2860,4583,9701717,16546,3046,2,6,-95
2023-06-21 14:26:43.825014,1,437,2858,4574,9701783,16566,3048,2,6,-92
2023-06-21 14:26:48.923675,2,437,2857,4570,9701793,16568,3047,2,6,-92
2023-06-21 14:27:20.707761,4,437,2855,4573,9701674,16624,3047,2,6,-92
2023-06-21 14:27:35.832528,5,437,2855,4576,9701627,16546,3047,2,6,-92
2023-06-21 14:27:51.753496,6,437,2854,4581,9701506,16672,3048,2,6,-92
2023-06-21 14:28:22.771487,7,437,2853,4591,9701424,16594,3047,2,6,-92
2023-06-21 14:28:43.790881,9,437,2851,4602,9701521,16480,3047,2,6,-92
2023-06-21 14:28:59.696608,10,437,2850,4610,9701307,16556,3048,2,6,-92
2023-06-21 14:29:14.868591,11,437,2850,4609,9701400,16566,3047,2,6,-92
2023-06-21 14:29:35.824012,12,437,2849,4609,9701335,16500,3047,2,6,-93
2023-06-21 14:29:50.933600,13,437,2849,4610,9701406,16392,3046,2,6,-94
2023-06-21 14:30:06.812903,14,437,2848,4614,9701338,16584,3047,2,6,-94
2023-06-21 14:30:22.720011,15,437,2848,4615,9701295,16484,3048,2,6,-92
2023-06-21 14:30:42.908042,0,437,2848,4614,9701267,16632,3047,2,6,-92
2023-06-21 14:30:53.739001,1,437,2847,4615,9701301,16598,3047,2,6,-93
2023-06-21 14:31:49.910030,4,437,2847,4611,9700943,16658,3047,2,6,-91
2023-06-21 14:32:00.719718,5,437,2847,4604,9701067,16666,3048,2,6,-92
2023-06-21 14:32:31.771685,7,436,2847,4598,9701170,16716,3048,2,6,-95
2023-06-21 14:32:57.862848,8,436,2846,4596,9701215,16736,3046,2,6,-95
2023-06-21 14:33:13.786847,9,436,2847,4599,9701311,16680,3048,2,6,-96
2023-06-21 14:33:44.825351,11,437,2846,4597,9701254,16814,3047,2,6,-96
2023-06-21 14:34:05.721428,12,437,2846,4595,9701374,16976,3047,2,6,-95
2023-06-21 14:34:15.810213,13,437,2846,4591,9701254,17004,3048,2,6,-94
2023-06-21 14:34:25.950504,14,436,2847,4587,9701496,17022,3049,2,6,-94
2023-06-21 14:34:52.007313,15,436,2846,4585,9701290,16892,3048,2,6,-95
2023-06-21 14:35:18.726931,1,435,2846,4579,9701229,16884,3048,2,6,-94
2023-06-21 14:35:39.718439,2,435,2846,4583,9701113,16744,3047,2,6,-95
2023-06-21 14:35:54.921402,3,435,2847,4581,9701577,16576,3048,2,6,-94
2023-06-21 14:36:05.759465,4,435,2847,4581,9701683,16556,3046,2,6,-92
2023-06-21 14:36:21.722539,5,435,2847,4583,9701761,16968,3048,2,6,-93
2023-06-21 14:36:36.920036,6,435,2847,4587,9701836,16812,3047,2,6,-91
2023-06-21 14:37:08.784683,7,435,2848,4590,9701830,16662,3047,2,6,-95
2023-06-21 14:37:34.774872,9,435,2848,4586,9701776,16644,3047,2,6,-93
2023-06-21 14:37:44.878141,10,434,2849,4584,9702079,16630,3050,2,6,-94
