Time,Status,CO2,Temperature,Humidity,Pressure,Photo,Battery,HWVersion,SWVersion,rssi
2023-06-22 13:17:53.638351,8,506,2805,4737,9660125,18038,4647,2,5,-85
2023-06-22 13:17:58.682198,9,508,2807,4726,9659970,17974,4647,2,5,-85
2023-06-22 13:18:14.625134,10,510,2808,4726,9660103,17988,4649,2,5,-85
2023-06-22 13:18:29.827566,11,512,2809,4725,9659866,18036,4647,2,5,-95
2023-06-22 13:18:45.641625,12,514,2810,4715,9660222,17968,4646,2,5,-85
2023-06-22 13:19:00.818945,13,515,2809,4711,9659975,17964,4645,2,5,-95
2023-06-22 13:19:22.602513,14,516,2809,4716,9660024,17946,4647,2,5,-93
2023-06-22 13:19:32.726219,15,518,2808,4718,9660100,17950,4646,2,5,-91
2023-06-22 13:19:48.627040,0,520,2808,4723,9660357,17978,4649,2,5,-92
2023-06-22 13:20:09.581687,1,522,2807,4729,9660131,17920,4647,2,5,-84
2023-06-22 13:20:24.772683,2,524,2807,4732,9660398,17918,4646,2,5,-84
2023-06-22 13:20:40.751175,3,525,2807,4729,9660748,17936,4646,2,5,-86
2023-06-22 13:20:56.675501,4,528,2806,4735,9660526,17886,4647,2,5,-86
2023-06-22 13:21:12.560270,5,529,2804,4736,9660332,17882,4647,2,5,-85
2023-06-22 13:21:27.766017,6,529,2803,4739,9660609,17926,4645,2,5,-92
2023-06-22 13:21:43.659562,7,529,2804,4734,9660462,17934,4646,2,5,-85
2023-06-22 13:21:59.531834,8,529,2803,4718,9660623,17880,4646,2,5,-93
2023-06-22 13:22:14.646701,9,530,2802,4717,9660562,17986,4648,2,5,-86
2023-06-22 13:22:30.533660,10,530,2802,4721,9660580,17906,4646,2,5,-85
2023-06-22 13:22:45.719323,11,531,2801,4732,9660635,17914,4646,2,5,-92
2023-06-22 13:23:06.716939,12,531,2801,4739,9660943,17930,4647,2,5,-84
2023-06-22 13:23:17.604770,13,531,2800,4742,9660848,18026,4649,2,5,-92
2023-06-22 13:23:38.567425,14,532,2800,4744,9660817,17960,4646,2,5,-93
2023-06-22 13:23:53.761169,15,534,2799,4750,9660752,17980,4647,2,5,-86
2023-06-22 13:24:09.692163,0,536,2799,4751,9660876,17972,4646,2,5,-85
2023-06-22 13:24:25.617250,1,537,2798,4751,9660955,17952,4645,2,5,-92
2023-06-22 13:24:40.773777,2,538,2798,4754,9660999,17968,4647,2,5,-88
